section,source_relative_path,canonical_relative_path,role,status,copy_status,extension,size_bytes,sha256,copied_at,rows,columns,column_names
csv,csv/clm_v1_cluster_dwell_20260514_174651.csv,csv/cml_cluster_dwell_raw.csv,Raw cluster dwell-event results,final_reference,copied,.csv,2570854,42b9f0c830a10d66beb457809e85c01478de1416af79022de437d0331c267393,2026-07-11T05:31:22,178729.0,4.0,epsilon | segment_id | state | dwell_length
csv,csv/clm_v1_cluster_dwell_summary_20260514_174651.csv,csv/cml_cluster_dwell_summary.csv,Cluster dwell and switching summary,final_reference,copied,.csv,6628,6c015accc61a52787d9671749e433b87ebbd33bfc6488b5120cd95ab6abbb742,2026-07-11T05:31:22,51.0,18.0,epsilon | mean_cluster_count | median_cluster_count | std_cluster_count | min_cluster_count | max_cluster_count | mean_dwell | median_dwell | std_dwell | max_dwell | switching_count | switching_rate | dominant_cluster_state | dominant_fraction | n_segments | n_steps | cluster_threshold | state_tol
csv,csv/clm_v1_epsilon_star_bootstrap_20260515_062255.csv,csv/cml_epsilon_star_bootstrap.csv,Full bootstrap distribution of epsilon-star,final_reference,copied,.csv,94902,12c5238638d7b679504f7f66de2de4fc2f1501495890c46a2a3144e1555a48ee,2026-07-11T05:31:23,500.0,6.0,bootstrap_id | epsilon_star | peak_score | orig_epsilon_star | orig_peak_score | metrics_used
csv,csv/clm_v1_epsilon_star_bootstrap_no_endpoint_20260515_062255.csv,csv/cml_epsilon_star_bootstrap_no_endpoint.csv,Endpoint-excluded bootstrap results,final_reference,copied,.csv,99554,b1cbbe76b4f689233c3947379a8dc484f03098d88baa4cc2b62477a46784040a,2026-07-11T05:31:23,500.0,8.0,bootstrap_id | epsilon_star | peak_score | orig_epsilon_star | orig_peak_score | eps_min | eps_max | metrics_used
csv,csv/clm_v1_epsilon_star_bootstrap_no_endpoint_summary_20260515_062255.csv,csv/cml_epsilon_star_bootstrap_no_endpoint_summary.csv,Endpoint-excluded bootstrap summary,final_reference,copied,.csv,499,b4dcf8f19291be59f6fd3bc3b9fa1e5261025eb8dec7efa6e7391ef1fdbb0025,2026-07-11T05:31:23,1.0,16.0,eps_min | eps_max | orig_epsilon_star | orig_peak_score | bootstrap_epsilon_star_mean | bootstrap_epsilon_star_median | bootstrap_epsilon_star_std | bootstrap_epsilon_star_q05 | bootstrap_epsilon_star_q95 | bootstrap_peak_mean | bootstrap_peak_std | bootstrap_peak_q05 | bootstrap_peak_q95 | p_epsilon_star_within_0p02 | p_epsilon_star_within_0p04 | n_bootstrap
csv,csv/clm_v1_epsilon_star_bootstrap_summary_20260515_062255.csv,csv/cml_epsilon_star_bootstrap_summary.csv,Bootstrap epsilon-star summary,final_reference,copied,.csv,487,a23b95b6d4b396248e22d33f1c309822bed8cb3b64e617d1526852eb2e3e8877,2026-07-11T05:31:23,1.0,14.0,orig_epsilon_star | orig_peak_score | bootstrap_epsilon_star_mean | bootstrap_epsilon_star_median | bootstrap_epsilon_star_std | bootstrap_epsilon_star_q05 | bootstrap_epsilon_star_q95 | bootstrap_peak_mean | bootstrap_peak_std | bootstrap_peak_q05 | bootstrap_peak_q95 | p_epsilon_star_within_0p02 | p_epsilon_star_within_0p04 | n_bootstrap
csv,csv/clm_v1_FINAL_NUMERIC_SUMMARY_20260515_074052.csv,csv/cml_final_numeric_summary_compact.csv,Later compact 18-field numerical summary,final_reference,copied,.csv,524,906f31c8132992f1d6fd8354c228bc1651f97312dac19c8e0f5758c51d5fd67b,2026-07-11T05:31:22,1.0,18.0,epsilon_star | window_min | window_max | peak_score | shuffle_peak_mean | shuffle_peak_std | shuffle_p_ge_original | shuffle_epsilon_star_mean | shuffle_epsilon_star_std | bootstrap_eps_mean | bootstrap_eps_median | bootstrap_eps_std | bootstrap_eps_q05 | bootstrap_eps_q95 | bootstrap_peak_mean | bootstrap_peak_std | bootstrap_p_within_002 | bootstrap_p_within_004
csv,csv/clm_v1_FINAL_NUMERIC_SUMMARY_20260515_062255.csv,csv/cml_final_numeric_summary_full.csv,Full 31-field numerical summary,final_reference,copied,.csv,949,aa40a383f090cb29ae4d366126b4b4df0432866e51cf790217858414c2f5f3a5,2026-07-11T05:31:22,1.0,31.0,epsilon_star | reorganization_score_peak | window_threshold_75pct | epsilon_window_min | epsilon_window_max | n_points_in_window | orig_epsilon_star | orig_peak_score | shuffle_peak_mean | shuffle_peak_std | shuffle_epsilon_star_mean | shuffle_epsilon_star_std | p_peak_ge_original | p_epsilon_star_within_0p02 | n_shuffles | eps_min | eps_max | orig_epsilon_star.1 | orig_peak_score.1 | bootstrap_epsilon_star_mean | bootstrap_epsilon_star_median | bootstrap_epsilon_star_std | bootstrap_epsilon_star_q05 | bootstrap_epsilon_star_q95 | bootstrap_peak_mean | bootstrap_peak_std | bootstrap_peak_q05 | bootstrap_peak_q95 | p_epsilon_star_within_0p02.1 | p_epsilon_star_within_0p04 | n_bootstrap
csv,csv/clm_v1_main_results_20260515_074052.csv,csv/cml_main_results.csv,Final 51-point CML parameter sweep,final_reference,copied,.csv,8311,a77c54beef03cc096c5077e98d9218b068a08b81d1f440da4211f80c771919c5,2026-07-11T05:31:22,51.0,20.0,epsilon | N | R | T | DISCARD | mean_spatial_var | sync_score | mean_clusters | median_clusters | std_clusters | min_clusters | max_clusters | total_switches | mean_switches_per_step | mean_switch_fraction | n_dwell_segments | mean_sync_dwell | max_sync_dwell | mean_nonsync_dwell | max_nonsync_dwell
csv,csv/clm_v1_MASTER_SUMMARY_20260515_074052.csv,csv/cml_master_summary.csv,Final combined CML summary table,final_reference,copied,.csv,15641,b63e1ccddefe83107d6256fc6958f34db42d5de1a71266c94442055eef794e46,2026-07-11T05:31:22,51.0,38.0,epsilon | N | R | T | DISCARD | mean_spatial_var | sync_score | mean_clusters | median_clusters | std_clusters | min_clusters | max_clusters | total_switches | mean_switches_per_step | mean_switch_fraction | n_dwell_segments | mean_sync_dwell | max_sync_dwell | mean_nonsync_dwell | max_nonsync_dwell | mean_cluster_count | median_cluster_count | std_cluster_count | min_cluster_count | max_cluster_count | mean_dwell | median_dwell | std_dwell | max_dwell | switching_count | switching_rate | dominant_cluster_state | dominant_fraction | n_segments | n_steps | cluster_threshold | state_tol | reorganization_score
