epsilon,mean_cluster_count,median_cluster_count,std_cluster_count,min_cluster_count,max_cluster_count,mean_dwell,median_dwell,std_dwell,max_dwell,switching_count,switching_rate,dominant_cluster_state,dominant_fraction,n_segments,n_steps,cluster_threshold,state_tol
0.0,18.84525,19.0,2.5742576478472388,11,27,1.118881118881119,1.0,0.3658405493457515,4,3574,0.8935,19,0.15175,3575,4000,0.01,1
0.02,17.80875,18.0,2.455437524658284,11,27,1.12391121101433,1.0,0.37495158662579425,4,3558,0.8895,18,0.16025,3559,4000,0.01,1
0.04,16.9995,17.0,2.4827403710416442,9,27,1.1286681715575622,1.0,0.39082569946418316,4,3543,0.88575,17,0.1615,3544,4000,0.01,1
0.06,14.7385,15.0,2.5547245937673986,6,26,1.1396011396011396,1.0,0.39999837663325916,5,3509,0.87725,14,0.1535,3510,4000,0.01,1
0.08,11.616,12.0,2.343297676352708,3,21,1.1672016340822877,1.0,0.453625110399756,5,3426,0.8565,11,0.16825,3427,4000,0.01,1
0.1,6.05725,6.0,1.4455007566583975,3,13,1.2303906490310674,1.0,0.5519567284170258,7,3250,0.8125,6,0.273,3251,4000,0.01,1
0.12,7.8725,8.0,1.577575275541551,4,16,1.2055455093429777,1.0,0.5236475339304746,6,3317,0.82925,7,0.24175,3318,4000,0.01,1
0.14,8.126,8.0,1.437749630498996,4,14,1.2642225031605563,1.0,0.5925981457750565,8,3163,0.79075,8,0.2735,3164,4000,0.01,1
0.16,6.1815,6.0,1.4251518340162919,4,14,1.3477088948787062,1.0,0.7575239004362845,8,2967,0.74175,6,0.24825,2968,4000,0.01,1
0.18,19.2595,19.0,2.6570961123000427,11,29,1.1217049915872126,1.0,0.3756393068535015,5,3565,0.89125,19,0.158,3566,4000,0.01,1
0.2,19.728,20.0,2.730845290381716,9,30,1.1145165784341042,1.0,0.3618524851736597,5,3588,0.897,19,0.14,3589,4000,0.01,1
0.22,16.571,17.0,2.438433718598888,7,26,1.1487650775416427,1.0,0.407757801177192,4,3481,0.87025,16,0.1585,3482,4000,0.01,1
0.24,19.12275,19.0,2.7647210415338472,11,30,1.1418783899514702,1.0,0.3992879904087365,4,3502,0.8755,19,0.14475,3503,4000,0.01,1
0.26,19.87375,20.0,2.7562312924535193,10,30,1.1198208286674132,1.0,0.3751508413796924,5,3571,0.89275,20,0.14425,3572,4000,0.01,1
0.28,18.022,18.0,2.8924066104197728,9,28,1.1350737797956867,1.0,0.396388664053527,4,3523,0.88075,17,0.13575,3524,4000,0.01,1
0.3,12.19475,11.0,4.525739987836244,5,26,1.184483269173823,1.0,0.4927868581489566,7,3376,0.844,9,0.1135,3377,4000,0.01,1
0.32,17.03575,17.0,3.0517981482234378,8,28,1.1220196353436185,1.0,0.3782003070665394,5,3564,0.891,17,0.13075,3565,4000,0.01,1
0.34,18.8185,19.0,2.7383494572460982,10,29,1.1145165784341042,1.0,0.3610816566057276,4,3588,0.897,19,0.15125,3589,4000,0.01,1
0.36,17.14925,17.0,2.768749616252795,9,27,1.119507416736636,1.0,0.3748197936459279,4,3572,0.893,17,0.13825,3573,4000,0.01,1
0.38,15.62225,16.0,2.7694864031982536,6,25,1.1328235627301049,1.0,0.39635329661149604,5,3530,0.8825,16,0.152,3531,4000,0.01,1
0.4,16.069,16.0,2.6039852150117904,7,26,1.1305822498586773,1.0,0.3927231682437842,5,3537,0.88425,16,0.15325,3538,4000,0.01,1
0.42,15.87125,16.0,2.4854925945373485,8,25,1.140575990875392,1.0,0.41900122819248703,5,3506,0.8765,16,0.14925,3507,4000,0.01,1
0.44,15.94675,16.0,2.40487306057929,7,25,1.1428571428571428,1.0,0.41698627198075494,5,3499,0.87475,16,0.176,3500,4000,0.01,1
0.46,14.803,15.0,2.22860741271315,7,24,1.1500862564692351,1.0,0.4220949743516647,4,3477,0.86925,15,0.1855,3478,4000,0.01,1
0.48,15.8925,16.0,2.6744053077273087,6,26,1.1173184357541899,1.0,0.36720530577253,4,3579,0.89475,16,0.157,3580,4000,0.01,1
0.5,15.35975,15.0,2.4609611816320878,6,25,1.1425307055127107,1.0,0.4020360840011107,4,3500,0.875,16,0.15675,3501,4000,0.01,1
0.52,15.421,15.0,2.4011994919206527,8,25,1.1341083073433513,1.0,0.40676403554676305,6,3526,0.8815,15,0.167,3527,4000,0.01,1
0.54,15.29175,15.0,2.53665763111619,7,24,1.1232799775344005,1.0,0.38392294003774013,5,3560,0.89,15,0.161,3561,4000,0.01,1
0.56,14.57275,15.0,2.5404148160290676,7,25,1.125809175344779,1.0,0.4042983583601629,6,3552,0.888,15,0.15175,3553,4000,0.01,1
0.58,14.771,15.0,2.527559890487266,7,24,1.1376564277588168,1.0,0.40453005395393277,5,3515,0.87875,15,0.1595,3516,4000,0.01,1
0.6,15.48925,16.0,2.598438846211317,7,24,1.119507416736636,1.0,0.39161743194251103,6,3572,0.893,16,0.154,3573,4000,0.01,1
0.62,13.6035,13.0,2.251174748881126,7,24,1.1747430249632893,1.0,0.5034471188829612,10,3404,0.851,13,0.201,3405,4000,0.01,1
0.64,14.7615,15.0,2.521729119076829,7,24,1.1425307055127107,1.0,0.4090790465992015,5,3500,0.875,14,0.1585,3501,4000,0.01,1
0.66,15.0365,15.0,2.553951399302657,8,25,1.122649452708392,1.0,0.4053398103079656,9,3562,0.8905,15,0.15875,3563,4000,0.01,1
0.68,14.917,15.0,2.6440709143288874,6,24,1.1277135607555682,1.0,0.3803555668016325,5,3546,0.8865,14,0.15325,3547,4000,0.01,1
0.7,14.775,15.0,2.6704634429252163,6,23,1.1123470522803114,1.0,0.3693678990511854,5,3595,0.89875,14,0.14275,3596,4000,0.01,1
0.72,14.782,15.0,2.7097003524375163,6,25,1.1207621182404035,1.0,0.3798480499603335,6,3568,0.892,15,0.14425,3569,4000,0.01,1
0.74,13.702,14.0,2.577827767714515,4,25,1.1254924029262803,1.0,0.37733716941076784,5,3553,0.88825,13,0.16275,3554,4000,0.01,1
0.76,13.85175,14.0,2.411902140946021,5,25,1.139925904816187,1.0,0.40455386583318353,5,3508,0.877,13,0.158,3509,4000,0.01,1
0.78,15.157,15.0,2.7849328537686504,7,26,1.1163829193413342,1.0,0.37373596530864756,5,3582,0.8955,16,0.135,3583,4000,0.01,1
0.8,15.21375,15.0,2.6271773707726704,6,27,1.1309018942606728,1.0,0.38724081519899484,5,3536,0.884,15,0.1475,3537,4000,0.01,1
0.82,14.52775,15.0,2.267648548055893,8,25,1.1668611435239207,1.0,0.4086846825492537,6,3427,0.85675,15,0.243,3428,4000,0.01,1
