bootstrap_id,epsilon_star,peak_score,orig_epsilon_star,orig_peak_score,metrics_used
0,0.18,0.8892606361007857,0.18,0.7656098373095557,"switching_rate,mean_clusters,max_dwell,dominant_fraction,mean_dwell,mean_clusters,dominant_fraction,mean_cluster_count,dominant_fraction"
1,0.18,0.6788643006735887,0.18,0.7656098373095557,"sync_score,switching_rate,mean_cluster_count,mean_clusters,switching_rate,max_dwell,mean_spatial_var,mean_switch_fraction,mean_switch_fraction"
2,0.18,0.6925833653477679,0.18,0.7656098373095557,"sync_score,switching_rate,max_dwell,dominant_fraction,sync_score,mean_cluster_count,mean_switch_fraction,max_dwell,mean_spatial_var"
3,0.18,0.6422068699929233,0.18,0.7656098373095557,"sync_score,dominant_fraction,mean_spatial_var,mean_switch_fraction,mean_spatial_var,mean_dwell,sync_score,mean_cluster_count,mean_switch_fraction"
4,0.18,0.6807038142790882,0.18,0.7656098373095557,"mean_clusters,mean_clusters,mean_cluster_count,mean_switch_fraction,mean_dwell,mean_switch_fraction,max_dwell,sync_score,sync_score"
5,0.18,0.9124144038424701,0.18,0.7656098373095557,"switching_rate,switching_rate,mean_cluster_count,switching_rate,mean_cluster_count,sync_score,mean_spatial_var,sync_score,mean_dwell"
6,0.18,0.6772726185426868,0.18,0.7656098373095557,"mean_switch_fraction,mean_spatial_var,mean_dwell,dominant_fraction,switching_rate,mean_dwell,dominant_fraction,mean_spatial_var,mean_switch_fraction"
7,0.18,0.9188981248748903,0.18,0.7656098373095557,"mean_spatial_var,dominant_fraction,mean_clusters,switching_rate,sync_score,mean_clusters,mean_dwell,mean_clusters,mean_dwell"
8,1.0,0.6546895913761117,0.18,0.7656098373095557,"mean_dwell,switching_rate,mean_switch_fraction,max_dwell,mean_clusters,max_dwell,mean_clusters,mean_switch_fraction,mean_switch_fraction"
9,0.18,0.9409964313598138,0.18,0.7656098373095557,"mean_dwell,mean_dwell,mean_spatial_var,mean_cluster_count,switching_rate,mean_dwell,switching_rate,sync_score,switching_rate"
10,0.18,0.81653800278642,0.18,0.7656098373095557,"mean_spatial_var,dominant_fraction,mean_clusters,mean_clusters,mean_cluster_count,mean_dwell,dominant_fraction,mean_dwell,mean_switch_fraction"
11,1.0,0.7151104094471803,0.18,0.7656098373095557,"max_dwell,mean_cluster_count,mean_clusters,mean_switch_fraction,mean_dwell,mean_dwell,dominant_fraction,mean_switch_fraction,dominant_fraction"
12,1.0,0.7231069099735227,0.18,0.7656098373095557,"mean_switch_fraction,switching_rate,mean_switch_fraction,max_dwell,mean_clusters,mean_cluster_count,mean_switch_fraction,mean_switch_fraction,max_dwell"
13,0.18,0.7554470890661368,0.18,0.7656098373095557,"mean_spatial_var,mean_clusters,max_dwell,mean_spatial_var,mean_cluster_count,mean_switch_fraction,mean_spatial_var,mean_cluster_count,mean_clusters"
14,0.18,0.9409964313598136,0.18,0.7656098373095557,"mean_cluster_count,mean_cluster_count,mean_cluster_count,mean_clusters,mean_clusters,sync_score,mean_spatial_var,mean_clusters,mean_clusters"
15,0.18,0.7951913189108356,0.18,0.7656098373095557,"mean_clusters,sync_score,dominant_fraction,sync_score,sync_score,mean_spatial_var,max_dwell,switching_rate,dominant_fraction"
16,0.18,0.723308745118033,0.18,0.7656098373095557,"mean_cluster_count,mean_cluster_count,mean_clusters,sync_score,mean_spatial_var,mean_cluster_count,mean_switch_fraction,mean_dwell,mean_switch_fraction"
17,1.0,0.6700158497911942,0.18,0.7656098373095557,"mean_switch_fraction,mean_clusters,mean_cluster_count,sync_score,mean_spatial_var,mean_switch_fraction,mean_switch_fraction,mean_cluster_count,dominant_fraction"
18,1.0,0.7107099931368599,0.18,0.7656098373095557,"dominant_fraction,mean_spatial_var,mean_clusters,mean_switch_fraction,sync_score,mean_switch_fraction,dominant_fraction,mean_switch_fraction,mean_clusters"
19,0.18,0.7739330719474752,0.18,0.7656098373095557,"mean_switch_fraction,sync_score,dominant_fraction,max_dwell,dominant_fraction,mean_clusters,switching_rate,switching_rate,mean_cluster_count"
20,0.18,0.8237733464281791,0.18,0.7656098373095557,"dominant_fraction,mean_dwell,mean_clusters,sync_score,sync_score,mean_dwell,dominant_fraction,max_dwell,mean_spatial_var"
21,0.18,0.8079109295010782,0.18,0.7656098373095557,"dominant_fraction,sync_score,switching_rate,max_dwell,max_dwell,dominant_fraction,mean_spatial_var,mean_cluster_count,mean_cluster_count"
22,0.18,0.7895476573999785,0.18,0.7656098373095557,"mean_cluster_count,switching_rate,mean_clusters,mean_switch_fraction,switching_rate,max_dwell,sync_score,sync_score,switching_rate"
23,0.18,0.8635735834457027,0.18,0.7656098373095557,"switching_rate,dominant_fraction,mean_clusters,sync_score,sync_score,sync_score,sync_score,mean_dwell,mean_dwell"
24,0.18,0.8300092359860016,0.18,0.7656098373095557,"switching_rate,mean_cluster_count,dominant_fraction,mean_clusters,mean_spatial_var,max_dwell,max_dwell,mean_clusters,sync_score"
25,0.18,0.760965629882635,0.18,0.7656098373095557,"sync_score,mean_clusters,mean_switch_fraction,sync_score,switching_rate,mean_clusters,sync_score,mean_cluster_count,max_dwell"
26,1.0,0.7264224098268693,0.18,0.7656098373095557,"mean_spatial_var,mean_cluster_count,dominant_fraction,dominant_fraction,dominant_fraction,mean_switch_fraction,switching_rate,mean_switch_fraction,max_dwell"
27,0.18,0.8110537358379364,0.18,0.7656098373095557,"sync_score,mean_spatial_var,sync_score,dominant_fraction,sync_score,sync_score,switching_rate,mean_clusters,dominant_fraction"
28,0.18,0.6915279040910067,0.18,0.7656098373095557,"max_dwell,mean_switch_fraction,switching_rate,max_dwell,mean_dwell,dominant_fraction,dominant_fraction,max_dwell,dominant_fraction"
29,0.18,0.6263444530658225,0.18,0.7656098373095557,"mean_switch_fraction,max_dwell,mean_cluster_count,dominant_fraction,mean_switch_fraction,mean_spatial_var,mean_spatial_var,sync_score,switching_rate"
