bootstrap_id,epsilon_star,peak_score,orig_epsilon_star,orig_peak_score,eps_min,eps_max,metrics_used
0,0.18,0.8299904342533987,0.18,0.7484545086316226,0.02,0.9,"dominant_fraction,mean_spatial_var,dominant_fraction,mean_spatial_var,max_dwell,mean_clusters,dominant_fraction,mean_clusters,mean_dwell"
1,0.18,0.6354059779678298,0.18,0.7484545086316226,0.02,0.9,"switching_rate,sync_score,mean_switch_fraction,dominant_fraction,mean_clusters,dominant_fraction,mean_switch_fraction,sync_score,max_dwell"
2,0.18,0.8966279721183099,0.18,0.7484545086316226,0.02,0.9,"switching_rate,mean_dwell,mean_cluster_count,dominant_fraction,sync_score,mean_clusters,mean_dwell,mean_clusters,mean_spatial_var"
3,0.18,0.7472698185725,0.18,0.7484545086316226,0.02,0.9,"mean_dwell,mean_switch_fraction,mean_cluster_count,max_dwell,mean_cluster_count,mean_spatial_var,mean_spatial_var,mean_cluster_count,dominant_fraction"
4,0.18,0.8414668924258124,0.18,0.7484545086316226,0.02,0.9,"sync_score,mean_dwell,mean_dwell,dominant_fraction,mean_clusters,sync_score,dominant_fraction,switching_rate,sync_score"
5,0.18,0.7686352130943971,0.18,0.7484545086316226,0.02,0.9,"mean_cluster_count,max_dwell,mean_spatial_var,mean_dwell,mean_clusters,mean_spatial_var,sync_score,mean_cluster_count,mean_spatial_var"
6,0.18,0.749639198690745,0.18,0.7484545086316226,0.02,0.9,"dominant_fraction,switching_rate,mean_dwell,mean_switch_fraction,mean_clusters,mean_clusters,sync_score,max_dwell,sync_score"
7,0.18,0.9450513538748836,0.18,0.7484545086316226,0.02,0.9,"switching_rate,mean_cluster_count,mean_clusters,mean_clusters,mean_dwell,max_dwell,switching_rate,dominant_fraction,mean_dwell"
8,0.18,0.6123269280452827,0.18,0.7484545086316226,0.02,0.9,"sync_score,switching_rate,sync_score,mean_switch_fraction,sync_score,max_dwell,dominant_fraction,mean_spatial_var,max_dwell"
9,0.18,0.6119699368847299,0.18,0.7484545086316226,0.02,0.9,"sync_score,max_dwell,mean_cluster_count,mean_clusters,mean_switch_fraction,switching_rate,max_dwell,mean_switch_fraction,sync_score"
10,0.18,0.7270891141097253,0.18,0.7484545086316226,0.02,0.9,"mean_clusters,dominant_fraction,mean_switch_fraction,dominant_fraction,max_dwell,mean_switch_fraction,mean_cluster_count,mean_cluster_count,mean_dwell"
11,0.18,0.7026129405606748,0.18,0.7484545086316226,0.02,0.9,"sync_score,sync_score,mean_switch_fraction,max_dwell,mean_spatial_var,mean_clusters,dominant_fraction,mean_clusters,mean_dwell"
12,0.18,0.6421436759037535,0.18,0.7484545086316226,0.02,0.9,"mean_spatial_var,switching_rate,sync_score,mean_dwell,switching_rate,mean_spatial_var,dominant_fraction,mean_switch_fraction,mean_switch_fraction"
13,0.18,0.6447254895893795,0.18,0.7484545086316226,0.02,0.9,"mean_switch_fraction,max_dwell,mean_switch_fraction,mean_cluster_count,dominant_fraction,mean_spatial_var,sync_score,mean_dwell,mean_clusters"
14,0.18,0.5868380386180843,0.18,0.7484545086316226,0.02,0.9,"mean_switch_fraction,mean_spatial_var,mean_clusters,dominant_fraction,switching_rate,mean_switch_fraction,max_dwell,mean_switch_fraction,mean_dwell"
15,0.18,0.853580651300369,0.18,0.7484545086316226,0.02,0.9,"mean_dwell,mean_spatial_var,max_dwell,mean_dwell,dominant_fraction,mean_clusters,max_dwell,mean_cluster_count,mean_dwell"
16,0.18,0.659208628582181,0.18,0.7484545086316226,0.02,0.9,"mean_switch_fraction,mean_dwell,max_dwell,mean_clusters,mean_clusters,switching_rate,max_dwell,mean_switch_fraction,max_dwell"
17,0.86,0.49822546354484487,0.18,0.7484545086316226,0.02,0.9,"mean_switch_fraction,sync_score,mean_spatial_var,max_dwell,mean_spatial_var,mean_clusters,mean_switch_fraction,mean_switch_fraction,mean_switch_fraction"
18,0.18,0.7484545086316224,0.18,0.7484545086316226,0.02,0.9,"mean_switch_fraction,max_dwell,dominant_fraction,mean_dwell,mean_spatial_var,mean_cluster_count,switching_rate,mean_dwell,sync_score"
19,0.18,0.758131011413725,0.18,0.7484545086316226,0.02,0.9,"mean_dwell,mean_spatial_var,mean_cluster_count,max_dwell,switching_rate,sync_score,mean_spatial_var,mean_spatial_var,dominant_fraction"
20,0.18,0.8966279721183099,0.18,0.7484545086316226,0.02,0.9,"mean_dwell,mean_clusters,dominant_fraction,switching_rate,mean_dwell,mean_spatial_var,mean_clusters,sync_score,mean_dwell"
21,0.18,0.8601059156689117,0.18,0.7484545086316226,0.02,0.9,"mean_spatial_var,mean_dwell,mean_spatial_var,mean_dwell,mean_clusters,mean_dwell,sync_score,mean_dwell,mean_dwell"
22,0.18,0.6800628559796551,0.18,0.7484545086316226,0.02,0.9,"max_dwell,mean_dwell,mean_dwell,dominant_fraction,mean_switch_fraction,mean_dwell,mean_switch_fraction,dominant_fraction,mean_spatial_var"
23,0.18,0.6581684961162304,0.18,0.7484545086316226,0.02,0.9,"sync_score,max_dwell,switching_rate,mean_cluster_count,mean_switch_fraction,sync_score,dominant_fraction,mean_spatial_var,max_dwell"
24,0.18,0.9450513538748836,0.18,0.7484545086316226,0.02,0.9,"mean_cluster_count,mean_dwell,mean_dwell,switching_rate,mean_cluster_count,switching_rate,max_dwell,dominant_fraction,mean_cluster_count"
25,0.18,0.7010712593409995,0.18,0.7484545086316226,0.02,0.9,"mean_switch_fraction,mean_switch_fraction,max_dwell,mean_dwell,mean_spatial_var,switching_rate,mean_cluster_count,mean_dwell,mean_clusters"
