epsilon,N,R,T,DISCARD,mean_spatial_var,sync_score,mean_clusters,median_clusters,std_clusters,min_clusters,max_clusters,total_switches,mean_switches_per_step,mean_switch_fraction,n_dwell_segments,mean_sync_dwell,max_sync_dwell,mean_nonsync_dwell,max_nonsync_dwell
0.0,200,3.8,5000,1000,0.0605598713219841,0.942898205976343,18.84525,19.0,2.5742576478472388,11,27,792151,198.0872718179545,0.9904363590897723,1,0,0,4000.0,4000
0.02,200,3.8,5000,1000,0.0560973675122695,0.9468823905466104,17.80875,18.0,2.455437524658284,11,27,792268,198.11652913228303,0.9905826456614154,1,0,0,4000.0,4000
0.04,200,3.8,5000,1000,0.0485169019152933,0.9537280688306796,16.9995,17.0,2.482740371041644,9,27,787750,196.9867466866717,0.9849337334333584,1,0,0,4000.0,4000
0.06,200,3.8,5000,1000,0.0500897735232315,0.9522995321103148,14.7385,15.0,2.5547245937673986,6,26,797997,199.5491372843211,0.9977456864216054,1,0,0,4000.0,4000
0.08,200,3.8,5000,1000,0.0503949728046711,0.952022835114956,11.616,12.0,2.343297676352708,3,21,799440,199.9099774943736,0.999549887471868,1,0,0,4000.0,4000
0.1,200,3.8,5000,1000,0.0496230090960027,0.9527230170585332,6.05725,6.0,1.4455007566583975,3,13,799793,199.9982495623906,0.999991247811953,1,0,0,4000.0,4000
0.12,200,3.8,5000,1000,0.0464881767074495,0.9555769690072232,7.8725,8.0,1.577575275541551,4,16,799800,200.0,1.0,1,0,0,4000.0,4000
0.14,200,3.8,5000,1000,0.0415149712708268,0.9601398228388676,8.126,8.0,1.437749630498996,4,14,799800,200.0,1.0,1,0,0,4000.0,4000
0.16,200,3.8,5000,1000,0.038346109789501,0.9630700116002026,6.1815,6.0,1.425151834016292,4,14,799760,199.98999749937485,0.9999499874968742,1,0,0,4000.0,4000
0.18,200,3.8,5000,1000,0.0476838107668354,0.954486448796098,19.2595,19.0,2.6570961123000427,11,29,795617,198.95398849712427,0.9947699424856216,1,0,0,4000.0,4000
0.2,200,3.8,5000,1000,0.0470943598738361,0.9550237670275386,19.728,20.0,2.730845290381716,9,30,797634,199.45836459114776,0.9972918229557388,1,0,0,4000.0,4000
0.22,200,3.8,5000,1000,0.0465675592905689,0.9555044880980876,16.571,17.0,2.438433718598888,7,26,798714,199.728432108027,0.998642160540135,1,0,0,4000.0,4000
0.24,200,3.8,5000,1000,0.0441731086023228,0.9576956079040853,19.12275,19.0,2.7647210415338472,11,30,799530,199.9324831207802,0.999662415603901,1,0,0,4000.0,4000
0.26,200,3.8,5000,1000,0.0430007699943446,0.9587720630402048,19.87375,20.0,2.75623129245352,10,30,798875,199.7686921730433,0.9988434608652164,1,0,0,4000.0,4000
0.28,200,3.8,5000,1000,0.0417754132753201,0.959899789587106,18.022,18.0,2.8924066104197728,9,28,798802,199.75043760940235,0.9987521880470116,1,0,0,4000.0,4000
