epsilon,N,R,T,DISCARD,mean_spatial_var,sync_score,mean_clusters,median_clusters,std_clusters,min_clusters,max_clusters,total_switches,mean_switches_per_step,mean_switch_fraction,n_dwell_segments,mean_sync_dwell,max_sync_dwell,mean_nonsync_dwell,max_nonsync_dwell,mean_cluster_count,median_cluster_count,std_cluster_count,min_cluster_count,max_cluster_count,mean_dwell,median_dwell,std_dwell,max_dwell,switching_count,switching_rate,dominant_cluster_state,dominant_fraction,n_segments,n_steps,cluster_threshold,state_tol,reorganization_score
0.0,200,3.8,5000,1000,0.0605598713219841,0.942898205976343,18.84525,19.0,2.5742576478472388,11,27,792151,198.0872718179545,0.9904363590897723,1,0,0,4000.0,4000,18.84525,19.0,2.5742576478472388,11,27,1.118881118881119,1.0,0.3658405493457515,4,3574,0.8935,19,0.15175,3575,4000,0.01,1,0.2465550738377374
0.02,200,3.8,5000,1000,0.0560973675122695,0.9468823905466104,17.80875,18.0,2.455437524658284,11,27,792268,198.11652913228303,0.9905826456614154,1,0,0,4000.0,4000,17.80875,18.0,2.455437524658284,11,27,1.12391121101433,1.0,0.3749515866257942,4,3558,0.8895,18,0.16025,3559,4000,0.01,1,0.3057128760735939
0.04,200,3.8,5000,1000,0.0485169019152933,0.9537280688306796,16.9995,17.0,2.482740371041644,9,27,787750,196.9867466866717,0.9849337334333584,1,0,0,4000.0,4000,16.9995,17.0,2.482740371041644,9,27,1.1286681715575622,1.0,0.3908256994641831,4,3543,0.88575,17,0.1615,3544,4000,0.01,1,0.2088635908150798
0.06,200,3.8,5000,1000,0.0500897735232315,0.9522995321103148,14.7385,15.0,2.5547245937673986,6,26,797997,199.5491372843211,0.9977456864216054,1,0,0,4000.0,4000,14.7385,15.0,2.5547245937673986,6,26,1.1396011396011396,1.0,0.3999983766332591,5,3509,0.87725,14,0.1535,3510,4000,0.01,1,0.1993724118369207
0.08,200,3.8,5000,1000,0.0503949728046711,0.952022835114956,11.616,12.0,2.343297676352708,3,21,799440,199.9099774943736,0.999549887471868,1,0,0,4000.0,4000,11.616,12.0,2.343297676352708,3,21,1.1672016340822875,1.0,0.453625110399756,5,3426,0.8565,11,0.16825,3427,4000,0.01,1,0.3811597278483687
0.1,200,3.8,5000,1000,0.0496230090960027,0.9527230170585332,6.05725,6.0,1.4455007566583975,3,13,799793,199.9982495623906,0.999991247811953,1,0,0,4000.0,4000,6.05725,6.0,1.4455007566583975,3,13,1.2303906490310674,1.0,0.5519567284170258,7,3250,0.8125,6,0.273,3251,4000,0.01,1,0.2580787815250743
0.12,200,3.8,5000,1000,0.0464881767074495,0.9555769690072232,7.8725,8.0,1.577575275541551,4,16,799800,200.0,1.0,1,0,0,4000.0,4000,7.8725,8.0,1.577575275541551,4,16,1.2055455093429777,1.0,0.5236475339304746,6,3317,0.82925,7,0.24175,3318,4000,0.01,1,0.2401074349351724
0.14,200,3.8,5000,1000,0.0415149712708268,0.9601398228388676,8.126,8.0,1.437749630498996,4,14,799800,200.0,1.0,1,0,0,4000.0,4000,8.126,8.0,1.437749630498996,4,14,1.2642225031605565,1.0,0.5925981457750565,8,3163,0.79075,8,0.2735,3164,4000,0.01,1,0.3522900452540904
0.16,200,3.8,5000,1000,0.038346109789501,0.9630700116002026,6.1815,6.0,1.425151834016292,4,14,799760,199.98999749937485,0.9999499874968742,1,0,0,4000.0,4000,6.1815,6.0,1.425151834016292,4,14,1.3477088948787062,1.0,0.7575239004362845,8,2967,0.74175,6,0.24825,2968,4000,0.01,1,0.6025872835087998
0.18,200,3.8,5000,1000,0.0476838107668354,0.954486448796098,19.2595,19.0,2.6570961123000427,11,29,795617,198.95398849712427,0.9947699424856216,1,0,0,4000.0,4000,19.2595,19.0,2.6570961123000427,11,29,1.1217049915872126,1.0,0.3756393068535015,5,3565,0.89125,19,0.158,3566,4000,0.01,1,0.7863110669732499
0.2,200,3.8,5000,1000,0.0470943598738361,0.9550237670275386,19.728,20.0,2.730845290381716,9,30,797634,199.45836459114776,0.9972918229557388,1,0,0,4000.0,4000,19.728,20.0,2.730845290381716,9,30,1.1145165784341042,1.0,0.3618524851736597,5,3588,0.897,19,0.14,3589,4000,0.01,1,0.1044863412856522
0.22,200,3.8,5000,1000,0.0465675592905689,0.9555044880980876,16.571,17.0,2.438433718598888,7,26,798714,199.728432108027,0.998642160540135,1,0,0,4000.0,4000,16.571,17.0,2.438433718598888,7,26,1.1487650775416427,1.0,0.407757801177192,4,3481,0.87025,16,0.1585,3482,4000,0.01,1,0.1068143544094763
0.24,200,3.8,5000,1000,0.0441731086023228,0.9576956079040853,19.12275,19.0,2.7647210415338472,11,30,799530,199.9324831207802,0.999662415603901,1,0,0,4000.0,4000,19.12275,19.0,2.7647210415338472,11,30,1.1418783899514702,1.0,0.3992879904087365,4,3502,0.8755,19,0.14475,3503,4000,0.01,1,0.1787976188679623
0.26,200,3.8,5000,1000,0.0430007699943446,0.9587720630402048,19.87375,20.0,2.75623129245352,10,30,798875,199.7686921730433,0.9988434608652164,1,0,0,4000.0,4000,19.87375,20.0,2.7562312924535197,10,30,1.1198208286674132,1.0,0.3751508413796924,5,3571,0.89275,20,0.14425,3572,4000,0.01,1,0.0833048593148881
0.28,200,3.8,5000,1000,0.0417754132753201,0.959899789587106,18.022,18.0,2.8924066104197728,9,28,798802,199.75043760940235,0.9987521880470116,1,0,0,4000.0,4000,18.022,18.0,2.8924066104197728,9,28,1.135073779795687,1.0,0.396388664053527,4,3523,0.88075,17,0.13575,3524,4000,0.01,1,0.2873654516068345
0.3,200,3.8,5000,1000,0.0408023917261306,0.9607971772062692,12.19475,11.0,4.525739987836244,5,26,798991,199.7976994248562,0.9989884971242812,1,0,0,4000.0,4000,12.19475,11.0,4.525739987836244,5,26,1.184483269173823,1.0,0.4927868581489566,7,3376,0.844,9,0.1135,3377,4000,0.01,1,0.0608799663672157
0.32,200,3.8,5000,1000,0.0405392398401018,0.961040162362035,17.03575,17.0,3.0517981482234378,8,28,797822,199.505376344086,0.99752688172043,1,0,0,4000.0,4000,17.03575,17.0,3.0517981482234378,8,28,1.1220196353436185,1.0,0.3782003070665394,5,3564,0.891,17,0.13075,3565,4000,0.01,1,0.2378773836378798
0.34,200,3.8,5000,1000,0.0407390446234762,0.9608556584535416,18.8185,19.0,2.7383494572460982,10,29,797119,199.3295823955989,0.9966479119779944,1,0,0,4000.0,4000,18.8185,19.0,2.7383494572460982,10,29,1.1145165784341042,1.0,0.3610816566057276,4,3588,0.897,19,0.15125,3589,4000,0.01,1,0.0160012331032459
0.36,200,3.8,5000,1000,0.0401315514654053,0.961416850196626,17.14925,17.0,2.768749616252795,9,27,797837,199.50912728182047,0.9975456364091024,1,0,0,4000.0,4000,17.14925,17.0,2.768749616252795,9,27,1.119507416736636,1.0,0.3748197936459279,4,3572,0.893,17,0.13825,3573,4000,0.01,1,0.0935314249129137
0.38,200,3.8,5000,1000,0.0400171834098103,0.9615225747726496,15.62225,16.0,2.7694864031982536,6,25,798224,199.60590147536885,0.9980295073768444,1,0,0,4000.0,4000,15.62225,16.0,2.7694864031982536,6,25,1.1328235627301049,1.0,0.396353296611496,5,3530,0.8825,16,0.152,3531,4000,0.01,1,0.0488859583894438
0.4,200,3.8,5000,1000,0.0398453736696879,0.9616814435312908,16.069,16.0,2.6039852150117904,7,26,797479,199.4196049012253,0.9970980245061264,1,0,0,4000.0,4000,16.069,16.0,2.6039852150117904,7,26,1.1305822498586773,1.0,0.3927231682437842,5,3537,0.88425,16,0.15325,3538,4000,0.01,1,0.0327829521012016
0.42,200,3.8,5000,1000,0.0391239044705732,0.9623491440219476,15.87125,16.0,2.4854925945373485,8,25,796263,199.11552888222056,0.9955776444111027,1,0,0,4000.0,4000,15.87125,16.0,2.4854925945373485,8,25,1.140575990875392,1.0,0.419001228192487,5,3506,0.8765,16,0.14925,3507,4000,0.01,1,0.0533919767833419
