epsilon,N,R,T,DISCARD,mean_spatial_var,sync_score,mean_clusters,median_clusters,std_clusters,min_clusters,max_clusters,total_switches,mean_switches_per_step,mean_switch_fraction,n_dwell_segments,mean_sync_dwell,max_sync_dwell,mean_nonsync_dwell,max_nonsync_dwell,mean_cluster_count,median_cluster_count,std_cluster_count,min_cluster_count,max_cluster_count,mean_dwell,median_dwell,std_dwell,max_dwell,switching_count,switching_rate,dominant_cluster_state,dominant_fraction,n_segments,n_steps,cluster_threshold,state_tol,d_sync_score_dEps,abs_d_sync_score_dEps,d_mean_spatial_var_dEps,abs_d_mean_spatial_var_dEps,d_mean_clusters_dEps,abs_d_mean_clusters_dEps,d_mean_switch_fraction_dEps,abs_d_mean_switch_fraction_dEps,d_mean_dwell_dEps,abs_d_mean_dwell_dEps,d_max_dwell_dEps,abs_d_max_dwell_dEps,d_switching_rate_dEps,abs_d_switching_rate_dEps,d_dominant_fraction_dEps,abs_d_dominant_fraction_dEps,d_mean_cluster_count_dEps,abs_d_mean_cluster_count_dEps,abs_d_sync_score_dEps_norm,abs_d_mean_spatial_var_dEps_norm,abs_d_mean_clusters_dEps_norm,abs_d_mean_switch_fraction_dEps_norm,abs_d_mean_dwell_dEps_norm,abs_d_switching_rate_dEps_norm,abs_d_dominant_fraction_dEps_norm,abs_d_mean_cluster_count_dEps_norm,reorganization_score
0.0,200,3.8,5000,1000,0.0605598713219841,0.942898205976343,18.84525,19.0,2.5742576478472388,11,27,792151,198.0872718179545,0.9904363590897723,1,0,0,4000.0,4000,18.84525,19.0,2.5742576478472388,11,27,1.118881118881119,1.0,0.3658405493457515,4,3574,0.8935,19,0.15175,3575,4000,0.01,1,0.19920922851336953,0.19920922851336953,-0.22312519048573,0.22312519048573,-51.82500000000001,51.82500000000001,0.007314328582153085,0.007314328582153085,0.2515046066605464,0.2515046066605464,0.0,0.0,-0.20000000000000018,0.20000000000000018,0.4250000000000004,0.4250000000000004,-51.82500000000001,51.82500000000001,0.7355651694545543,0.7408948256128497,0.14962293168300353,0.002185950214264515,0.03272048924113238,0.039151712887438676,0.12267657992565303,0.14962293168300353,0.24655507383773745
0.02,200,3.8,5000,1000,0.0560973675122695,0.9468823905466104,17.80875,18.0,2.455437524658284,11,27,792268,198.11652913228303,0.9905826456614154,1,0,0,4000.0,4000,17.80875,18.0,2.455437524658284,11,27,1.12391121101433,1.0,0.3749515866257942,4,3558,0.8895,18,0.16025,3559,4000,0.01,1,0.2707465713584156,0.2707465713584156,-0.30107423516727017,0.30107423516727017,-46.14375000000001,46.14375000000001,-0.13756564141034744,0.13756564141034744,0.24467631691108238,0.24467631691108238,0.0,0.0,-0.19374999999999787,0.19374999999999787,0.2437500000000008,0.2437500000000008,-46.14375000000001,46.14375000000001,1.0,1.0,0.13277992921862586,0.042313062737733165,0.031536461695891686,0.037520391517128125,0.0687732342007462,0.13277992921862586,0.3057128760735939
0.04,200,3.8,5000,1000,0.0485169019152933,0.9537280688306796,16.9995,17.0,2.482740371041644,9,27,787750,196.9867466866717,0.9849337334333584,1,0,0,4000.0,4000,16.9995,17.0,2.482740371041644,9,27,1.1286681715575622,1.0,0.3908256994641831,4,3543,0.88575,17,0.1615,3544,4000,0.01,1,0.1354285390926151,0.1354285390926151,-0.15018984972594995,0.15018984972594995,-76.75625000000002,76.75625000000002,0.17907601900475356,0.17907601900475356,0.3922482146702464,0.3922482146702464,25.00000000000003,25.00000000000003,-0.306249999999995,0.306249999999995,-0.16874999999999973,0.16874999999999973,-76.75625000000002,76.75625000000002,0.4998024876398096,0.4984553670696915,0.22353573347662573,0.05510135297799744,0.05712547421019066,0.06688417618270649,0.04646840148699127,0.22353573347662573,0.20886359081507982
0.06,200,3.8,5000,1000,0.0500897735232315,0.9522995321103148,14.7385,15.0,2.5547245937673986,6,26,797997,199.5491372843211,0.9977456864216054,1,0,0,4000.0,4000,14.7385,15.0,2.5547245937673986,6,26,1.1396011396011396,1.0,0.3999983766332591,5,3509,0.87725,14,0.1535,3510,4000,0.01,1,-0.04263084289308594,0.04263084289308594,0.04695177223444502,0.04695177223444502,-134.58749999999998,134.58749999999998,0.36540385096274264,0.36540385096274264,0.963336563118137,0.963336563118137,25.00000000000003,25.00000000000003,-0.7312499999999993,0.7312499999999993,0.16875000000000018,0.16875000000000018,-134.58749999999998,134.58749999999998,0.15677963980098256,0.1552886203684927,0.3949860104875019,0.11250421300977556,0.15615236969033583,0.17781402936378427,0.046468401486991405,0.3949860104875019,0.19937241183692078
0.08,200,3.8,5000,1000,0.0503949728046711,0.952022835114956,11.616,12.0,2.343297676352708,3,21,799440,199.9099774943736,0.999549887471868,1,0,0,4000.0,4000,11.616,12.0,2.343297676352708,3,21,1.1672016340822875,1.0,0.453625110399756,5,3426,0.8565,11,0.16825,3427,4000,0.01,1,0.010587123705459334,0.010587123705459334,-0.011669110680719852,0.011669110680719852,-217.03124999999997,217.03124999999997,0.05613903475869009,0.05613903475869009,2.269737735748194,2.269737735748194,49.99999999999997,49.99999999999997,-1.6187499999999986,1.6187499999999986,2.9874999999999994,2.9874999999999994,-217.03124999999997,217.03124999999997,0.03833135647880335,0.03800789919904204,0.6394041023550551,0.01722759882517284,0.38268273531375585,0.4094616639477971,0.8847583643122685,0.6394041023550551,0.3811597278483687
0.1,200,3.8,5000,1000,0.0496230090960027,0.9527230170585332,6.05725,6.0,1.4455007566583975,3,13,799793,199.9982495623906,0.999991247811953,1,0,0,4000.0,4000,6.05725,6.0,1.4455007566583975,3,13,1.2303906490310674,1.0,0.5519567284170258,7,3250,0.8125,6,0.273,3251,4000,0.01,1,0.08885334730668148,0.08885334730668148,-0.09766990243054008,0.09766990243054008,-93.58749999999986,93.58749999999986,0.011252813203299183,0.011252813203299183,0.9585968815172521,0.9585968815172521,24.999999999999943,24.999999999999943,-0.6812499999999986,0.6812499999999986,1.8374999999999968,1.8374999999999968,-93.58749999999986,93.58749999999986,0.32763921657434153,0.32387734422955017,0.2734347495784614,0.0033992970292262966,0.15533050744121865,0.16476345840130446,0.5427509293680304,0.2734347495784614,0.2580787815250743
0.12,200,3.8,5000,1000,0.0464881767074495,0.9555769690072232,7.8725,8.0,1.577575275541551,4,16,799800,200.0,1.0,1,0,0,4000.0,4000,7.8725,8.0,1.577575275541551,4,16,1.2055455093429777,1.0,0.5236475339304746,6,3317,0.82925,7,0.24175,3318,4000,0.01,1,0.1854201445083561,0.1854201445083561,-0.20270094562939733,0.20270094562939733,51.71875000000003,51.71875000000003,0.00021880470117352502,0.00021880470117352502,0.8457963532372226,0.8457963532372226,24.999999999999886,24.999999999999886,-0.5437499999999993,0.5437499999999993,0.012499999999997513,0.012499999999997513,51.71875000000003,51.71875000000003,0.6845943904567828,0.6730039675934032,0.14930793603735515,0.0,0.13577086110199574,0.12887438825448574,1.8489959666619672e-15,0.14930793603735515,0.24010743493517245
0.14,200,3.8,5000,1000,0.0415149712708268,0.9601398228388676,8.126,8.0,1.437749630498996,4,14,799800,200.0,1.0,1,0,0,4000.0,4000,8.126,8.0,1.437749630498996,4,14,1.2642225031605565,1.0,0.5925981457750565,8,3163,0.79075,8,0.2735,3164,4000,0.01,1,0.18732606482448233,0.18732606482448233,-0.20355167294871224,0.20355167294871224,-42.27500000000006,42.27500000000006,-0.0012503125781435642,0.0012503125781435642,3.5540846383932134,3.5540846383932134,49.999999999999915,49.999999999999915,-2.1874999999999964,2.1874999999999964,0.16249999999999876,0.16249999999999876,-42.27500000000006,42.27500000000006,0.6916395461165289,0.6758318130317605,0.12131038188589799,0.0003177813086814537,0.6053888837304428,0.557911908646002,0.044609665427511436,0.12131038188589799,0.3522900452540904
0.16,200,3.8,5000,1000,0.038346109789501,0.9630700116002026,6.1815,6.0,1.425151834016292,4,14,799760,199.98999749937485,0.9999499874968742,1,0,0,4000.0,4000,6.1815,6.0,1.425151834016292,4,14,1.3477088948787062,1.0,0.7575239004362845,8,2967,0.74175,6,0.24825,2968,4000,0.01,1,-0.14133435106923642,0.14133435106923642,0.15422098740021495,0.15422098740021495,278.33750000000015,278.33750000000015,-0.13075143785946253,0.13075143785946253,-3.562937789333599,3.562937789333599,-75.00000000000004,75.00000000000004,2.5124999999999993,2.5124999999999993,-2.8875000000000024,2.8875000000000024,278.33750000000015,278.33750000000015,0.5216330774711073,0.5118550005653462,0.8211565898941982,0.040213780153112715,0.6069240228297191,0.6427406199021203,0.8550185873605965,0.8211565898941982,0.6025872835087998
0.18,200,3.8,5000,1000,0.0476838107668354,0.954486448796098,19.2595,19.0,2.6570961123000427,11,29,795617,198.95398849712427,0.9947699424856216,1,0,0,4000.0,4000,19.2595,19.0,2.6570961123000427,11,29,1.1217049915872126,1.0,0.3756393068535015,5,3565,0.89125,19,0.158,3566,4000,0.01,1,-0.20115611431659985,0.20115611431659985,0.2187062521083779,0.2187062521083779,338.66250000000036,338.66250000000036,-0.06645411352839048,0.06645411352839048,-5.829807911115058,5.829807911115058,-75.00000000000011,75.00000000000011,3.8812500000000014,3.8812500000000014,-2.7062500000000025,2.7062500000000025,338.66250000000036,338.66250000000036,0.7427617523439087,0.7262061298944141,1.0,0.020405411911987376,1.0,1.0,0.8011152416356896,1.0,0.7863110669732499
