group,source_relative_path,canonical_relative_path,role,status,copy_status,extension,size_bytes,sha256,copied_at,rows,columns,column_names,npz_arrays,npz_shapes,json_keys
baseline,delta_window_duffing_v2/csv/duffing_recovered_arrays_20260516_135008.npz,baseline/duffing_baseline_arrays.npz,Recovered numerical arrays for the Duffing baseline analysis,final_reference,already_identical,.npz,4990,b41582fe7988bb22ebfabe5c9ce452c2e7275bc071d71c09473baaa17ee75761,2026-07-10T21:01:36,,,,delta_values | mean_transitions | std_transitions | mean_dwell | std_dwell | mean_occupancy | std_occupancy | mean_filtered | std_filtered | delta_norm,"delta_values: (30,) | mean_transitions: (30,) | std_transitions: (30,) | mean_dwell: (30,) | std_dwell: (30,) | mean_occupancy: (30,) | std_occupancy: (30,) | mean_filtered: (30,) | std_filtered: (30,) | delta_norm: (30,)",
baseline,delta_window_duffing_v2/csv/duffing_data_20260516_135008.npz,baseline/duffing_processed_data.npz,"Normalized delta, exploration and filtered baseline arrays",final_reference,already_identical,.npz,1496,af66cb35a0e96f070a3f9f0ad923c6ae999d35613b0799cf93696b9ff717a88c,2026-07-10T21:01:36,,,,delta_norm | exploration | filtered,"delta_norm: (30,) | exploration: (30,) | filtered: (30,)",
baseline,delta_window_duffing_v2/csv/duffing_summary_recovered_20260516_135008.csv,baseline/duffing_summary.csv,Main 30-point Duffing baseline summary,final_reference,already_identical,.csv,3692,d39feecae8835e018da846e9cc961f6ab271a415297da8c9f7890863322e255c,2026-07-10T21:01:36,30.0,9.0,delta | mean_transitions | std_transitions | mean_dwell | std_dwell | mean_occupancy | std_occupancy | mean_filtered | std_filtered,,,
bootstrap_recheck,duffing_bootstrap_recheck/run_20260527_173318/figures/duffing_Tglobal_Tlocal_recheck.png,bootstrap_recheck/duffing_Tglobal_Tlocal_recheck.png,Reference global and local compatibility curves,final_reference,already_identical,.png,138264,8397b7067dacf832eb95b3cdb5450184cf4d1b37df891d9b5dacb8a1d868e5f1,2026-07-10T21:01:36,,,,,,
bootstrap_recheck,duffing_bootstrap_recheck/run_20260527_173318/figures/duffing_bootstrap_global_delta_star_recheck.png,bootstrap_recheck/duffing_bootstrap_global_delta_star_recheck.png,Bootstrap distribution of global delta-star,final_reference,already_identical,.png,94164,89592d35fcf6725b1cd7cb3f9153659f94b99e93341061d1c13e42be614e5b05,2026-07-10T21:01:36,,,,,,
bootstrap_recheck,duffing_bootstrap_recheck/run_20260527_173318/figures/duffing_bootstrap_local_delta_star_recheck.png,bootstrap_recheck/duffing_bootstrap_local_delta_star_recheck.png,Bootstrap distribution of local delta-star,final_reference,already_identical,.png,92987,217698c3ac00cfe977aa0ab23dea4da6545576cb8a5c43019cafe593e1240b47,2026-07-10T21:01:36,,,,,,
bootstrap_recheck,duffing_bootstrap_recheck/run_20260527_173318/csv/duffing_bootstrap_recheck.csv,bootstrap_recheck/duffing_bootstrap_recheck.csv,Full 500-realization bootstrap results,final_reference,already_identical,.csv,87661,82a0b835ad98e33a7de6d06dfe070ba1cfc6f0dfcee1bc519834103de912ff40,2026-07-10T21:01:36,500.0,10.0,bootstrap_id | delta_star_global | max_dT_global | delta_star_local | max_dT_local | T_global_at_delta_star | T_local_at_delta_star | local_global_at_delta_star | max_local_global | delta_at_max_local_global,,,
bootstrap_recheck,duffing_bootstrap_recheck/run_20260527_173318/csv/duffing_bootstrap_recheck_summary.csv,bootstrap_recheck/duffing_bootstrap_recheck_summary.csv,Final bootstrap recheck summary metrics,final_reference,already_identical,.csv,623,06ee2d4cff37e4b6f148bbdb5f58442740685cf9e413642b20dea6cc837716ae,2026-07-10T21:01:36,1.0,19.0,system | N_points | N_bootstrap | delta_grid_min | delta_grid_max | N_delta | seed | original_delta_star_global | original_delta_star_local | bootstrap_global_mean | bootstrap_global_median | bootstrap_global_std | bootstrap_global_ci95_low | bootstrap_global_ci95_high | bootstrap_local_mean | bootstrap_local_median | bootstrap_local_std | bootstrap_local_ci95_low | bootstrap_local_ci95_high,,,
bootstrap_recheck,duffing_bootstrap_recheck/run_20260527_173318/duffing_bootstrap_recheck_summary.json,bootstrap_recheck/duffing_bootstrap_recheck_summary.json,Machine-readable bootstrap recheck summary,final_reference,already_identical,.json,741,6b9baba67047d8addc45bfae032028aa336f294c93237e78b4800c0d516faa9f,2026-07-10T21:01:36,,,,,,system | N_points | N_bootstrap | delta_grid_min | delta_grid_max | N_delta | seed | original_delta_star_global | original_delta_star_local | bootstrap_global_mean | bootstrap_global_median | bootstrap_global_std | bootstrap_global_ci95_low | bootstrap_global_ci95_high | bootstrap_local_mean | bootstrap_local_median | bootstrap_local_std | bootstrap_local_ci95_low | bootstrap_local_ci95_high
bootstrap_recheck,duffing_bootstrap_recheck/run_20260527_173318/csv/duffing_controls_recheck.csv,bootstrap_recheck/duffing_controls_recheck.csv,"Duffing shuffle, random and surrogate control results",final_reference,already_identical,.csv,549,fedf4e744535f6dfa4ef2bbd6fa281d204497ac3752b9c79c77dc5e1f4abead3,2026-07-10T21:01:36,3.0,8.0,variant | delta_star_global | max_dT_global | T_global_at_delta_star | T_local_at_delta_star | local_global_at_delta_star | max_local_global | delta_at_max_local_global,,,
