branch,source_relative_path,canonical_relative_path,role,status,copy_status,extension,size_bytes,sha256,copied_at,rows,columns,column_names
adaptive_coupling,kuramoto_adaptive_coupling_v1_CHECKPOINT/fig_kuramoto_adaptive_Kij_structure.png,adaptive_coupling/fig_kuramoto_adaptive_Kij_structure.png,Adaptive coupling-matrix structure,final_reference,copied,.png,175329,607006498ef18f734e90cdd92eb8d6fc32fd8f2ca8a85fbcbb5aaccdb16be71a,2026-07-11T05:02:26,,,
adaptive_coupling,kuramoto_adaptive_coupling_v1_CHECKPOINT/fig_kuramoto_adaptive_R_vs_K.png,adaptive_coupling/fig_kuramoto_adaptive_R_vs_K.png,Order parameter R as a function of coupling K,final_reference,copied,.png,118027,b8c8f1f7ac1231189a365b7679d7caa1c09722b1e814abe54093f3fe490d5c97,2026-07-11T05:02:26,,,
adaptive_coupling,kuramoto_adaptive_coupling_v1_CHECKPOINT/fig_kuramoto_adaptive_cluster_mean.png,adaptive_coupling/fig_kuramoto_adaptive_cluster_mean.png,Mean cluster organization across coupling values,final_reference,copied,.png,137361,fd012e8eef257cf661ba430818dc8064610e1e4f091f33c4d9e27311d7accadd,2026-07-11T05:02:26,,,
adaptive_coupling,kuramoto_adaptive_coupling_v1_CHECKPOINT/fig_kuramoto_adaptive_reorganization_score.png,adaptive_coupling/fig_kuramoto_adaptive_reorganization_score.png,Compatibility-dependent reorganization score,final_reference,copied,.png,184170,7d006d4531717ee0334a33bf3d16189e6ae8d0d65cc33fda5e78a951989b012b,2026-07-11T05:02:26,,,
adaptive_coupling,kuramoto_adaptive_coupling_v1_CHECKPOINT/kuramoto_adaptive_aggregate.csv,adaptive_coupling/kuramoto_adaptive_aggregate.csv,Aggregated results across seeds or replications,final_reference,copied,.csv,11528,9d49fa1cec04bda52bdac6275e99245b41dac2265d440cca3183985a1c5f608a,2026-07-11T05:02:25,21.0,29.0,K_base | R_mean_mean | R_mean_std | R_std_mean | R_std_std | cluster_mean_mean | cluster_mean_std | cluster_std_mean | cluster_std_std | dominant_fraction_mean | dominant_fraction_std | switching_rate_mean | switching_rate_std | memory_score_mean | memory_score_std | Kij_mean_final_mean | Kij_mean_final_std | Kij_std_final_mean | Kij_std_final_std | Kij_density_weak_mean | Kij_density_weak_std | Kij_density_strong_mean | Kij_density_strong_std | reorganization_score_mean | reorganization_score_std | adaptive_network_score_mean | adaptive_network_score_std | adaptive_reorganization_score_mean | adaptive_reorganization_score_std
adaptive_coupling,kuramoto_adaptive_coupling_v1_CHECKPOINT/kuramoto_adaptive_all.csv,adaptive_coupling/kuramoto_adaptive_all.csv,Complete run-level results,final_reference,copied,.csv,92618,468d828cd5b7401896adf909284461196b7e7b5b49bd7b361bd06de251011127,2026-07-11T05:02:25,420.0,17.0,K_base | seed | R_mean | R_std | cluster_mean | cluster_std | dominant_cluster | dominant_fraction | switching_rate | memory_score | Kij_mean_final | Kij_std_final | Kij_density_weak | Kij_density_strong | reorganization_score | adaptive_network_score | adaptive_reorganization_score
adaptive_coupling,kuramoto_adaptive_coupling_v1_CHECKPOINT/kuramoto_adaptive_summary.csv,adaptive_coupling/kuramoto_adaptive_summary.csv,Summary metrics and characteristic coupling values,final_reference,copied,.csv,480,8d9e95f2b52f69c0070df83c206449508acc132713d2d0f2f0a5eab2f2cbad03,2026-07-11T05:02:25,1.0,11.0,peak_K_adaptive_reorganization | peak_adaptive_reorganization_score | raw_reorganization_score_at_peak | adaptive_network_score_at_peak | R_mean_at_peak | cluster_mean_at_peak | dominant_fraction_at_peak | switching_rate_at_peak | Kij_mean_final_at_peak | Kij_std_final_at_peak | Kij_density_strong_at_peak
minimal_replication,kuramoto_minimal_replication_v1_CHECKPOINT/fig_kuramoto_minimal_replication_R_vs_K.png,minimal_replication/fig_kuramoto_minimal_replication_R_vs_K.png,Order parameter R as a function of coupling K,final_reference,copied,.png,300524,10f47b08178f3d8d7e31171519f2127002fbde14add283594b9ddaf241c74ba0,2026-07-11T05:02:28,,,
minimal_replication,kuramoto_minimal_replication_v1_CHECKPOINT/fig_kuramoto_minimal_replication_peak_K_summary.png,minimal_replication/fig_kuramoto_minimal_replication_peak_K_summary.png,Characteristic peak-K comparison,final_reference,copied,.png,99073,c692aed0210667c1118f7c34d4cb3964f775c5e77d780b22a097e45c568acd23,2026-07-11T05:02:28,,,
minimal_replication,kuramoto_minimal_replication_v1_CHECKPOINT/fig_kuramoto_minimal_replication_reorganization_score.png,minimal_replication/fig_kuramoto_minimal_replication_reorganization_score.png,Compatibility-dependent reorganization score,final_reference,copied,.png,426822,13a96ea2e7203d0f56b477bceccc21026c865a2539349ea479912f343b172e2f,2026-07-11T05:02:28,,,
minimal_replication,kuramoto_minimal_replication_v1_CHECKPOINT/fig_kuramoto_minimal_replication_switching_rate.png,minimal_replication/fig_kuramoto_minimal_replication_switching_rate.png,Switching-rate response across coupling values,final_reference,copied,.png,410103,1fb8b019664a57ca4fc913b1d403356d35cfde0311bc8befcff8bee2161aa257,2026-07-11T05:02:28,,,
minimal_replication,kuramoto_minimal_replication_v1_CHECKPOINT/kuramoto_minimal_replication_aggregate.csv,minimal_replication/kuramoto_minimal_replication_aggregate.csv,Aggregated results across seeds or replications,final_reference,copied,.csv,47690,19174717fd02938f238ff25839ddf76a0477eade40fb60fd6b38a439287dc499,2026-07-11T05:02:27,145.0,18.0,replication | K | R_mean_mean | R_mean_std | R_std_mean | R_std_std | cluster_mean_mean | cluster_mean_std | cluster_std_mean | cluster_std_std | dominant_fraction_mean | dominant_fraction_std | switching_rate_mean | switching_rate_std | memory_score_mean | memory_score_std | reorganization_score_mean | reorganization_score_std
minimal_replication,kuramoto_minimal_replication_v1_CHECKPOINT/kuramoto_minimal_replication_all.csv,minimal_replication/kuramoto_minimal_replication_all.csv,Complete run-level results,final_reference,copied,.csv,283409,caaed09643c5a91c20d78a0542ddcd2f62b60028da2182781677bf24e1da95da,2026-07-11T05:02:27,1450.0,16.0,replication | N | dt | omega_std | K | seed | actual_seed | R_mean | R_std | cluster_mean | cluster_std | dominant_cluster | dominant_fraction | switching_rate | memory_score | reorganization_score
