K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
0.1,0,0.036521819496850974,0.020862897229930663,0.0328,0.1803445591083912,0,0.9676,0.0248,0.7208,0.00014491046597793814
0.1,1,0.04986598467590374,0.021390971383013956,0.0268,0.16637836397801248,0,0.974,0.0204,0.762,8.824708857977537e-05
0.1,2,0.0536192687180568,0.028792400082303396,0.0356,0.18529069053786812,0,0.9644,0.0272,0.6668,0.00017942068805797685
0.1,3,0.04867166390930758,0.026007194442256656,0.0272,0.1626657923473771,0,0.9728,0.0184,0.7504,8.141098017852483e-05
0.1,4,0.051606842617030954,0.028195511788048744,0.0252,0.16421010931121144,0,0.976,0.0164,0.7336,6.46331029659355e-05
0.1,5,0.04641728115956614,0.023931973487773907,0.0248,0.15551514395710792,0,0.9752,0.0176,0.7808,6.787925389117415e-05
0.1,6,0.05007113924322478,0.023160932444745826,0.0224,0.14798053926107987,0,0.9776,0.0176,0.8764,5.8339851113052145e-05
0.1,7,0.05165623073559053,0.028065472289409147,0.0324,0.1770599898339543,0,0.9676,0.0224,0.6328,0.0001285030639586343
0.1,8,0.04558057172169832,0.02102431946852309,0.0288,0.16724401334576972,0,0.9712,0.0224,0.7564,0.00010789246270625072
0.1,9,0.045681845175465564,0.019421818799471274,0.0228,0.15709920432643826,0,0.9784,0.0144,0.8108,4.8864139907038054e-05
0.1,10,0.059779728539775465,0.027181215373890986,0.028,0.16497272501841023,0,0.972,0.0184,0.8172,8.499395254872133e-05
0.1,11,0.04125178134374283,0.01704046269609633,0.026,0.16408534364774935,0,0.9748,0.0192,0.7152,7.939105680547769e-05
0.1,12,0.04899713262007182,0.025146016792727457,0.0284,0.1661127328051646,0,0.9716,0.0176,0.7664,8.302979308293503e-05
0.1,13,0.04476404044649714,0.024097704600215056,0.024,0.15304901175767194,0,0.976,0.0176,0.8112,6.464790623961697e-05
0.1,14,0.05080729550417934,0.028550671290293886,0.0296,0.17182502728066132,0,0.9708,0.0196,0.7372,9.833890463055889e-05
0.1,15,0.0453527237665726,0.02543025933616346,0.0264,0.1603216766379394,0,0.9736,0.0216,0.8036,9.142183711851076e-05
0.1,16,0.04194863481096562,0.018739148928362,0.032,0.176,0,0.968,0.022,0.7876,0.0001239040056320001
0.1,17,0.04911373014821556,0.03474453364997546,0.0188,0.1387319718017444,0,0.9816,0.016,0.8884,4.084269505110177e-05
0.1,18,0.04787569127778894,0.025004213540776168,0.0236,0.15698101796077132,0,0.9772,0.0176,0.8608,6.299334646646565e-05
0.1,19,0.04927210023237865,0.025545304681221636,0.0216,0.15077612543105093,0,0.9792,0.0152,0.8424,4.7669382952424566e-05
0.15,0,0.03854193313142529,0.022655816677268143,0.0308,0.17507529808628056,0,0.9696,0.0228,0.7888,0.00012134819593185177
0.15,1,0.05278257774975127,0.02298978563613643,0.028,0.1744018348527331,0,0.9736,0.0184,0.728,8.4717439902272e-05
0.15,2,0.056335206869002494,0.030359903251137618,0.0436,0.20808421372127198,0,0.9572,0.026,0.6844,0.0002315561219350355
0.15,3,0.05207054165947161,0.028410371986685633,0.0244,0.16187847293571805,0,0.9768,0.018,0.7992,6.760045405353642e-05
0.15,4,0.05461733995259269,0.02946419419660114,0.0404,0.19689550528135474,0,0.9596,0.0292,0.5984,0.00023227369762488694
0.15,5,0.04993522128886692,0.025434488241415507,0.0348,0.18544260567625773,0,0.9656,0.0208,0.6024,0.0001326878995927015
0.15,6,0.0526554042722066,0.02454813296651142,0.0224,0.14798053926107987,0,0.9776,0.0184,0.8524,6.0991662376610686e-05
0.15,7,0.056601442404627826,0.03155747166683121,0.0236,0.15698101796077132,0,0.9772,0.0152,0.7952,5.440334516365222e-05
0.15,8,0.04831268423241117,0.022628749091487262,0.0292,0.16836674255921208,0,0.9708,0.0208,0.806,0.00010225922967707194
0.15,9,0.04883665178706199,0.020797117410899738,0.0368,0.18827044377703048,0,0.9632,0.02,0.7772,0.00013856705354824698
0.15,10,0.06323993472025073,0.029268275461767388,0.0244,0.15685866249589153,0,0.976,0.0176,0.7704,6.625710280287254e-05
0.15,11,0.0466639813582341,0.018500557380323926,0.0176,0.1314923571923479,0,0.9824,0.0112,0.8704,2.5919775764021025e-05
0.15,12,0.051660359973391745,0.026491344310080593,0.0332,0.18999410517171317,0,0.9688,0.0192,0.7492,0.00011381407468987914
0.15,13,0.04762178752309256,0.025191657371747802,0.0268,0.16149848296501115,0,0.9732,0.0216,0.768,9.348824614694516e-05
0.15,14,0.05411162125596708,0.030604935896867046,0.0372,0.18925157859315203,0,0.9628,0.0272,0.7092,0.00019149232432385372
0.15,15,0.047912393449621574,0.027178933213107773,0.0236,0.15179934123704228,0,0.9764,0.0152,0.7712,5.4453463271016155e-05
0.15,16,0.044229240952708304,0.019737305826886323,0.03,0.17291616465790582,0,0.9704,0.0224,0.8236,0.00011465033893309618
0.15,17,0.053495095505167616,0.03872097241457271,0.0252,0.16175586542688336,0,0.9756,0.0192,0.7708,7.577939178202935e-05
0.15,18,0.05079531722144701,0.02689755837096195,0.0316,0.179447596807536,0,0.9692,0.0256,0.706,0.0001414908466577922
0.15,19,0.05277613533137427,0.026650347603650724,0.0236,0.15179934123704228,0,0.9764,0.0216,0.8476,7.738123577145898e-05
0.2,0,0.04082109430813747,0.024779241452144524,0.0348,0.18758720638678963,0,0.966,0.0248,0.652,0.00015817353880330618
0.2,1,0.05599079912781069,0.02506178246811715,0.036,0.18629009635512025,0,0.964,0.0208,0.5344,0.00013949403085715764
0.2,2,0.05924997613261038,0.031895708882513724,0.03,0.1705872210923198,0,0.97,0.0224,0.708,0.00011463461769165562
0.2,3,0.056085864640930655,0.03125285717776947,0.028,0.16497272501841023,0,0.972,0.0168,0.7008,7.760317446789653e-05
0.2,4,0.05810668269692888,0.030949402944102446,0.0452,0.21530666501527534,0,0.9564,0.028,0.6796,0.00026284638603801857
0.2,5,0.054448901678831714,0.027332369337211768,0.0192,0.13722740251130602,0,0.9808,0.0136,0.9332,3.5832821978518344e-05
0.2,6,0.05541829867653157,0.025898445592588224,0.0268,0.16149848296501115,0,0.9732,0.0176,0.8336,7.617560877309593e-05
0.2,7,0.06342869306456764,0.03577156942568949,0.0272,0.1626657923473771,0,0.9728,0.02,0.7932,8.84901954614827e-05
0.2,8,0.05150490592136905,0.02472325448939688,0.0332,0.17915847733222115,0,0.9668,0.0256,0.8264,0.0001522703790022629
0.2,9,0.05244730208142275,0.022421070951725616,0.048,0.21747643550509096,0,0.9528,0.0288,0.5584,0.00029562877763308833
0.2,10,0.06685310671011188,0.03176961301444934,0.0292,0.16836674255921208,0,0.9708,0.0248,0.7872,0.00012192446520798792
0.2,11,0.054513038511908744,0.019998683001565265,0.0164,0.12700803124212265,0,0.9836,0.012,0.9764,2.4995182631381406e-05
0.2,12,0.05467086559938795,0.027975511178459866,0.0304,0.17168529348782322,0,0.9696,0.0176,0.7836,9.185850464695781e-05
0.2,13,0.051046163342110616,0.02627043172110692,0.0404,0.19891666596844015,0,0.96,0.024,0.5108,0.00019096000728636934
0.2,14,0.05784699728444293,0.03295657815166788,0.0244,0.15428752379891256,0,0.9756,0.0184,0.8084,6.926893044937529e-05
0.2,15,0.05094048333130053,0.028862462041822922,0.0132,0.1141304516770174,0,0.9868,0.0144,0.9548,2.169391776128941e-05
0.2,16,0.04677182428796027,0.020841497989340953,0.0244,0.15428752379891256,0,0.9756,0.0176,0.7684,6.625723798482053e-05
0.2,17,0.058705649808874605,0.043613554081852794,0.03,0.1705872210923198,0,0.97,0.0272,0.7416,0.0001391991775289497
0.2,18,0.054585113899737074,0.029232565778367855,0.026,0.15913516267626082,0,0.974,0.02,0.8564,8.275028872916993e-05
0.2,19,0.05692316614767096,0.027657513485892956,0.026,0.15913516267626082,0,0.974,0.02,0.842,8.275028872916993e-05
0.25,0,0.04344629246154661,0.027325320755495233,0.0244,0.15428752379891253,0,0.9756,0.016,0.8728,6.0233853055710974e-05
0.25,1,0.0595577722914209,0.02783846230807414,0.0216,0.14809942606235854,0,0.9788,0.016,0.9256,5.023532846005984e-05
0.25,2,0.062332717278985,0.03331267354992877,0.0496,0.21711711125565394,0,0.9504,0.032,0.5548,0.00034460828975398246
0.25,3,0.06094822098993507,0.034532598877107315,0.0376,0.19022681199031857,0,0.9624,0.0296,0.6744,0.0002117148398252729
0.25,4,0.06209356730312545,0.032858184525199195,0.0316,0.17493267276298047,0,0.9684,0.0192,0.7972,0.00010613515674662783
0.25,5,0.060276495963524086,0.02984251043180146,0.0232,0.15053823434596275,0,0.9768,0.0168,0.8628,5.867378571116947e-05
0.25,6,0.05827959644015987,0.027038603626566772,0.0176,0.1314923571923479,0,0.9824,0.0192,0.9208,4.443389965670355e-05
0.25,7,0.07341757904494574,0.04058896686990104,0.0408,0.19782659073036668,0,0.9592,0.0256,0.6304,0.00020662592555737805
0.25,8,0.05539885700939434,0.02763932260478394,0.044,0.20895932618574362,0,0.9568,0.0328,0.552,0.00029608701585919433
0.25,9,0.05657483062129727,0.024282780699250103,0.0388,0.19517827747984662,0,0.9616,0.0264,0.6244,0.0001978639380728151
0.25,10,0.07038422401554903,0.034706372663360886,0.0228,0.16211156652133124,0,0.9792,0.0188,0.8388,6.339211034442208e-05
0.25,11,0.06603122283715109,0.021338576177572944,0.0308,0.17734531287857594,0,0.97,0.0208,0.7248,0.00011066348055659087
0.25,12,0.058020597476670835,0.02965740099539643,0.0232,0.16081591960996897,0,0.9784,0.0188,0.8972,6.530413210883991e-05
0.25,13,0.05532400567757381,0.027173131386482367,0.0268,0.16149848296501115,0,0.9732,0.0256,0.8228,0.00011080088352079439
0.25,14,0.06210490095444761,0.03564063671213973,0.0364,0.18728331479339,0,0.9636,0.0248,0.6944,0.00016906440074740162
0.25,15,0.05448967430410878,0.03065728659404354,0.0232,0.15053823434596275,0,0.9768,0.0152,0.8436,5.308580645224734e-05
0.25,16,0.04965911663000797,0.022054997570206895,0.0276,0.16624752629738584,0,0.9728,0.0224,0.7748,0.00010129129734440396
0.25,17,0.06493887599470088,0.0495811611380216,0.0392,0.19407050265303072,0,0.9608,0.0336,0.664,0.0002556141480619236
0.25,18,0.061174757576349006,0.03157277186417507,0.0308,0.17277546122062587,0,0.9692,0.0248,0.7572,0.00013197281362024727
0.25,19,0.06190188167166489,0.02863483376782607,0.0324,0.1770599898339543,0,0.9676,0.0184,0.7392,0.00010555608927615382
