K,kick_strength,seed,R_pre_mean,R_post_mean,R_change,cluster_pre_mean,cluster_post_mean,cluster_change,cluster_pre_mode,cluster_post_mode,cluster_shift,kick_distance,recovery_similarity,memory_loss,core_overlap,new_core_fraction,irreversibility_score,regime
0.4,0.0,0,0.09401153766645147,0.07550119114218508,0.01851034652426639,0.03666666666666667,0.03,0.006666666666666668,0,0,0,0.0,0.03776703850419981,0.9622329614958002,0.85,0.15000000000000002,1.1185272147935335,irreversible
0.4,0.0,1,0.14217452722414173,0.12512172607557703,0.017052801148564695,0.10733333333333334,0.042,0.06533333333333333,0,0,0,0.0,0.25728097696934216,0.7427190230306578,0.7166666666666667,0.2833333333333333,1.0466488899844657,irreversible
0.4,0.0,2,0.10195446625585115,0.05856504513921656,0.043389421116634595,0.05466666666666667,0.032,0.02266666666666667,0,0,0,0.0,0.11426999619809106,0.8857300038019089,0.9,0.09999999999999998,1.0022440257477343,irreversible
0.4,0.0,3,0.09355334649588794,0.08171808232147146,0.01183526417441648,0.04066666666666666,0.051333333333333335,0.010666666666666672,0,0,0,0.0,0.11065701631164429,0.8893429836883557,0.85,0.15000000000000002,1.0449684663986263,irreversible
0.4,0.0,4,0.08825558066894033,0.14026254812583264,0.0520069674568923,0.02266666666666667,0.06866666666666667,0.046,0,0,0,0.0,0.11238246599169587,0.8876175340083041,0.75,0.25,1.1621192758725272,irreversible
0.4,0.0,5,0.1258628326307061,0.13222241938029825,0.006359586749592139,0.07666666666666666,0.07266666666666667,0.00399999999999999,0,0,0,0.0,0.14902541695572297,0.850974583044277,0.85,0.15000000000000002,1.003564479731675,irreversible
0.4,0.0,6,0.08282277859058966,0.07623529691296205,0.006587481677627613,0.05266666666666667,0.03133333333333333,0.021333333333333336,0,0,0,0.0,0.0894443202472172,0.9105556797527828,0.8333333333333334,0.16666666666666663,1.0842025501721897,irreversible
0.4,0.0,7,0.2152299246299264,0.24208253407960803,0.026852609449681625,0.16666666666666666,0.25066666666666665,0.08399999999999999,0,0,0,0.0,0.3293671636328592,0.6706328363671408,0.36666666666666664,0.6333333333333333,1.3316793220628944,irreversible
0.4,0.0,8,0.07086648489324654,0.05658342709977306,0.014283057793473476,0.024666666666666667,0.056,0.03133333333333334,0,0,0,0.0,0.04929857515443997,0.9507014248455601,0.85,0.15000000000000002,1.1121055226272618,irreversible
0.4,0.0,9,0.06403404952127821,0.0697252585319266,0.005691209010648388,0.04466666666666667,0.037333333333333336,0.007333333333333331,0,0,0,0.0,0.0657516657789213,0.9342483342210787,0.9833333333333333,0.01666666666666672,0.9541711364737409,irreversible
0.4,0.0,10,0.10346628979126055,0.08897489528752676,0.014491394503733782,0.06733333333333333,0.032,0.03533333333333333,0,0,0,0.0,0.07634006806131804,0.923659931938682,0.7833333333333333,0.21666666666666667,1.1527827805646156,irreversible
0.4,0.0,11,0.15646160191364836,0.12135581795450305,0.035105783959145306,0.07,0.06333333333333334,0.006666666666666668,0,0,0,0.0,0.23181351567617817,0.7681864843238219,0.8833333333333333,0.1166666666666667,0.8952962636469416,irreversible
0.4,0.0,12,0.08498253953638653,0.11035924065786754,0.025376701121481007,0.036,0.07533333333333334,0.03933333333333334,0,0,0,0.0,0.09691572023019948,0.9030842797698005,0.8,0.19999999999999996,1.1192617883835043,irreversible
0.4,0.0,13,0.10143632821765704,0.07603526298725478,0.025401065230402253,0.056,0.026,0.030000000000000002,0,0,0,0.0,0.11924940922876248,0.8807505907712375,0.9166666666666666,0.08333333333333337,0.9779341904121714,irreversible
0.4,0.0,14,0.08839690794768372,0.0656614494225035,0.02273545852518022,0.04066666666666666,0.035333333333333335,0.005333333333333329,0,0,0,0.0,0.04441478874231563,0.9555852112576844,0.85,0.15000000000000002,1.1126024092223128,irreversible
0.4,0.0,15,0.08545806964414503,0.12040601746188172,0.03494794781773669,0.058,0.08666666666666667,0.028666666666666667,0,0,0,0.0,0.20010686334754724,0.7998931366524528,0.8166666666666667,0.18333333333333335,0.9991301236068869,irreversible
0.4,0.0,16,0.08460491641213293,0.08394947647925532,0.0006554399328776023,0.048,0.058,0.010000000000000002,0,0,0,0.0,0.07172732637985506,0.928272673620145,0.9,0.09999999999999998,1.0309365336033642,irreversible
0.4,0.0,17,0.12597026089492133,0.10331188266197161,0.022658378232949722,0.07266666666666667,0.056,0.01666666666666667,0,0,0,0.0,0.09909137713069373,0.9009086228693063,0.9166666666666666,0.08333333333333337,0.9940732174275437,irreversible
0.4,0.0,18,0.0931473445238972,0.12423897171149988,0.03109162718760268,0.034666666666666665,0.04466666666666667,0.010000000000000002,0,0,0,0.0,0.15714581975785008,0.8428541802421499,0.9,0.09999999999999998,0.9531270870390505,irreversible
0.4,0.0,19,0.11528260354457787,0.1016083686466189,0.013674234897958965,0.07066666666666667,0.05533333333333333,0.015333333333333338,0,0,0,0.0,0.10872843167018675,0.8912715683298132,0.85,0.15000000000000002,1.0485234603876363,irreversible
0.4,0.1,0,0.09401153766645147,0.07747178289317226,0.01653975477327921,0.03666666666666667,0.021333333333333333,0.015333333333333334,0,0,0,0.005082959184978253,0.035270811810155435,0.9647291881898445,0.85,0.15000000000000002,1.1226974602164979,irreversible
0.4,0.1,1,0.14217452722414173,0.12269630189537996,0.01947822532876177,0.10733333333333334,0.07533333333333334,0.032,0,0,0,0.005567735344719993,0.24850641513281257,0.7514935848671874,0.7333333333333333,0.2666666666666667,1.0310298078660447,irreversible
0.4,0.1,2,0.10195446625585115,0.05953890257258142,0.042415563683269736,0.05466666666666667,0.03133333333333333,0.023333333333333338,0,0,0,0.005307263305182275,0.11415665914375321,0.8858433408562468,0.9,0.09999999999999998,1.0022805651103976,irreversible
0.4,0.1,3,0.09355334649588794,0.08905728578057942,0.004496060715308517,0.04066666666666666,0.06266666666666666,0.022,0,0,0,0.004175440822384302,0.12471187981444283,0.8752881201855571,0.8666666666666667,0.1333333333333333,1.0152454686977177,irreversible
0.4,0.1,4,0.08825558066894033,0.15894962871983928,0.07069404805089895,0.02266666666666667,0.108,0.08533333333333333,0,0,0,0.004554961461759155,0.09859423989063254,0.9014057601093675,0.7,0.30000000000000004,1.2404126054554256,irreversible
0.4,0.1,5,0.1258628326307061,0.13623766515158472,0.010374832520878619,0.07666666666666666,0.094,0.01733333333333334,0,0,0,0.004855247808518315,0.1458872859028459,0.8541127140971541,0.85,0.15000000000000002,1.011039755560707,irreversible
0.4,0.1,6,0.08282277859058966,0.08155870957839181,0.0012640690121978465,0.05266666666666667,0.03333333333333333,0.019333333333333334,0,0,0,0.00540133673198373,0.09419564402806897,0.905804355971931,0.8166666666666667,0.18333333333333335,1.094287039891647,irreversible
0.4,0.1,7,0.2152299246299264,0.23863209702124952,0.02340217239132311,0.16666666666666666,0.20333333333333334,0.03666666666666668,0,0,0,0.005785230342152614,0.32272300701470213,0.6772769929852979,0.35,0.65,1.3422942027497955,irreversible
0.4,0.1,8,0.07086648489324654,0.0554785586632759,0.015387926229970643,0.024666666666666667,0.028666666666666667,0.004,0,0,0,0.005601349941135814,0.0456313688267278,0.9543686311732722,0.8833333333333333,0.1166666666666667,1.0758822793974314,irreversible
0.4,0.1,9,0.06403404952127821,0.0682486818311281,0.004214632309849892,0.04466666666666667,0.03133333333333333,0.013333333333333336,0,0,0,0.0045797356965694425,0.06948797395779123,0.9305120260422087,0.95,0.050000000000000044,0.9848990174530046,irreversible
0.4,0.1,10,0.10346628979126055,0.08642139618189014,0.017044893609370407,0.06733333333333333,0.044,0.02333333333333333,0,0,0,0.004845457257861452,0.06794176863625569,0.9320582313637443,0.7833333333333333,0.21666666666666667,1.158819454766087,irreversible
0.4,0.1,11,0.15646160191364836,0.13076013410643095,0.02570146780721741,0.07,0.052,0.01800000000000001,0,0,0,0.004834404950814775,0.25116285237241115,0.7488371476275888,0.8833333333333333,0.1166666666666667,0.8764291812460598,irreversible
0.4,0.1,12,0.08498253953638653,0.11457190820411418,0.029589368667727656,0.036,0.09066666666666667,0.054666666666666676,0,0,0,0.004960474886224864,0.09654808956074885,0.9034519104392511,0.8,0.19999999999999996,1.1245159192728498,irreversible
0.4,0.1,13,0.10143632821765704,0.0773225567214321,0.024113771496224942,0.056,0.034666666666666665,0.021333333333333336,0,0,0,0.004633053394615061,0.12555063442245593,0.874449365577544,0.9166666666666666,0.08333333333333337,0.969144475118267,irreversible
