direction,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std
backward,0.2,0.9609237256182507,0.021664892154459547,0.00013745332626359153,0.00017965458856039967
backward,0.25,0.9720599832097498,0.01704197631024072,2.2804596375977594e-05,3.534085764055384e-05
backward,0.30000000000000004,0.9825207643990017,0.008060808435271235,3.5154257269950746e-06,5.49615193817043e-06
backward,0.35000000000000003,0.9863718563982886,0.008169543841344273,8.552128052728535e-07,1.4310877774759887e-06
backward,0.4,0.9924766939056727,0.003541649363036387,7.22649999853816e-08,7.441074311179424e-08
backward,0.45,0.9937517512825224,0.0027219896571604963,1.577498705656353e-08,1.7948374802116997e-08
backward,0.5,0.9943207147969583,0.003103411005065288,4.64133181954087e-09,6.46346761647852e-09
backward,0.55,0.9949005211440246,0.0024521279036575283,1.0511202916242866e-09,1.8474720217563964e-09
backward,0.6000000000000001,0.9956946304083922,0.0019273489347975596,2.686002026365776e-10,3.181171315197988e-10
backward,0.65,0.9966637350531862,0.0021390456591405737,4.4593109751930095e-11,1.0890649655680895e-10
backward,0.7,0.9972309104844047,0.001635060236910212,1.3413506313529828e-11,1.573214583954082e-11
backward,0.75,0.9974239377930745,0.0009187709083148416,4.33595723150278e-12,6.169357450729216e-12
backward,0.8,0.9979774349548748,0.0008571012771757852,4.865409383827612e-13,5.273704237250765e-13
backward,0.8500000000000001,0.998108387759773,0.0007931185214728655,1.7082846089005428e-13,1.7847411880425513e-13
backward,0.9000000000000001,0.9982567448297403,0.000734461317281491,5.675889989308275e-14,6.245732789085802e-14
backward,0.95,0.9981728626938328,0.0008316903509776073,1.589679785231816e-14,1.7364824439227917e-14
backward,1.0,0.9986148813828898,0.0006532317825802218,3.557729188244906e-15,6.147302153881782e-15
backward,1.05,0.9986876897277878,0.0005692408203668869,9.613149438220113e-16,1.0404262051251064e-15
backward,1.1,0.998946587716326,0.0006746580443680542,3.2913194098755853e-16,5.035847638161206e-16
backward,1.1500000000000001,0.999062872007155,0.0004792522948261914,1.8020155498849404e-16,5.230833926669897e-17
backward,1.2,0.9990396425478257,0.0005703010330584797,1.4611008932321538e-16,3.303582021231276e-17
forward,0.2,0.9686130545665126,0.016360116930519957,0.0045142276443687285,0.01870198020290554
forward,0.25,0.9721298231174398,0.015435550986168634,1.6821432876547e-05,1.875589658457857e-05
forward,0.30000000000000004,0.98333327134189,0.00687283592230513,2.803275198960604e-06,2.7827111863525514e-06
forward,0.35000000000000003,0.9882828665539414,0.004721115609368545,5.606290002960943e-07,6.002449291067589e-07
forward,0.4,0.9879984351322417,0.006330546665546056,8.771886206733475e-08,8.170334182639218e-08
forward,0.45,0.9935577597135075,0.002473429967352359,1.9201307593300823e-08,2.835019695072047e-08
forward,0.5,0.9941681970071088,0.0029761791037630696,3.1562322859748486e-09,3.4693273649681637e-09
forward,0.55,0.9950804676190733,0.002219358962492117,1.072111588902745e-09,1.3190649715715303e-09
forward,0.6000000000000001,0.9957374785848845,0.002265216226776455,3.3792923550236255e-10,3.3322388272756436e-10
forward,0.65,0.9959784575823567,0.0019622620526506813,7.497978284505219e-11,9.84333585879349e-11
forward,0.7,0.9973575485679328,0.0015748397879881196,1.8952187233657972e-11,2.8227755538123904e-11
forward,0.75,0.9976098785780222,0.0012502514253367608,4.5600595496198156e-12,5.1929549396566865e-12
forward,0.8,0.9973834937921333,0.0012156108086974152,1.249479887715337e-12,1.6905041380096415e-12
forward,0.8500000000000001,0.9977404244987189,0.0011530464520374947,3.7285469331762976e-13,4.0507741362684193e-13
forward,0.9000000000000001,0.9984068779067939,0.0008092643389461377,6.102289303583875e-14,6.912667397397792e-14
forward,0.95,0.9984277423065224,0.0006565258283690799,1.5135304241802593e-14,2.951213234746345e-14
forward,1.0,0.9985944601255049,0.0005540882050306759,3.9895591998456004e-15,3.3434158824152473e-15
forward,1.05,0.9983536850764902,0.0011315847119348166,1.6227929585237312e-15,3.194962020441424e-15
forward,1.1,0.9988274235750418,0.0006741346048207674,2.8698762936145544e-16,2.6656530911156105e-16
forward,1.1500000000000001,0.9985280277169739,0.0006986557396465249,2.1600558462693919e-16,1.6617903321564085e-16
forward,1.2,0.9988345845727509,0.0006331704040342213,1.4697197701971485e-16,4.2878588818034114e-17
