run,direction,K,R_mean,R_std
0,forward,0.2,0.9897471486415241,2.114862411755061e-06
0,forward,0.25,0.9851735117570672,8.756174133540845e-08
0,forward,0.30000000000000004,0.9761794827194935,1.4361085486544375e-06
0,forward,0.35000000000000003,0.9809385929140054,1.6531437773190142e-06
0,forward,0.4,0.9882209929279738,1.013025556875185e-07
0,forward,0.45,0.9926238011898304,7.550246485549792e-10
0,forward,0.5,0.9921719760849749,9.684851206377826e-09
0,forward,0.55,0.9955724584883819,9.644616367747517e-10
0,forward,0.6000000000000001,0.9974338211738977,1.3329194350152413e-10
0,forward,0.65,0.9962732493552605,3.747028900254052e-11
0,forward,0.7,0.9952089322675505,5.6498517593588616e-11
0,forward,0.75,0.9964671261781981,1.2208261671344918e-11
0,forward,0.8,0.9966895469151295,8.805669493620545e-13
0,forward,0.8500000000000001,0.9972241768441724,2.6585652957700324e-13
0,forward,0.9000000000000001,0.9978691562171359,3.721964832718976e-14
0,forward,0.95,0.9990814417199224,1.0304012129951107e-15
0,forward,1.0,0.9986330430612305,2.766533431707106e-15
0,forward,1.05,0.9974812443091721,1.1299394487312636e-16
0,forward,1.1,0.9986352310527434,6.372831670819576e-16
0,forward,1.1500000000000001,0.9970556624787791,8.163851717468013e-16
0,forward,1.2,0.9995472605696155,1.969146758040049e-16
1,forward,0.2,0.9770855204074032,0.0006891097447986263
1,forward,0.25,0.9330653775030711,4.235982985350065e-05
1,forward,0.30000000000000004,0.9902675160051156,1.5233775848587496e-06
1,forward,0.35000000000000003,0.9866093158128476,1.5792474730644047e-07
1,forward,0.4,0.9959105289961527,2.491315056773035e-08
1,forward,0.45,0.9960565869356064,1.9517901312101945e-09
1,forward,0.5,0.9943663007315708,5.496480549081802e-09
1,forward,0.55,0.9918868422273025,3.735439622786303e-09
1,forward,0.6000000000000001,0.9969897483942525,4.173162711913531e-10
1,forward,0.65,0.9971720100908955,4.49215561521071e-12
1,forward,0.7,0.9979730525114124,3.71553752341033e-13
1,forward,0.75,0.9979442184332826,3.330495404596908e-12
1,forward,0.8,0.9984568255682014,1.5958886430848281e-13
1,forward,0.8500000000000001,0.998636440893866,1.5932821660156617e-13
1,forward,0.9000000000000001,0.9982557023956442,2.5612497078068413e-14
1,forward,0.95,0.9988166570586412,8.873858757092727e-16
1,forward,1.0,0.9987912395872669,1.9623538738304733e-16
1,forward,1.05,0.9992117257240187,5.55527689938684e-16
1,forward,1.1,0.9986573190252273,1.0551987009635075e-16
1,forward,1.1500000000000001,0.9987927002288014,1.805321868039521e-16
1,forward,1.2,0.9982157928571521,1.2445727204972158e-16
2,forward,0.2,0.9781446370020807,0.0002622768445427164
2,forward,0.25,0.9632930434484391,1.9796475732707647e-05
2,forward,0.30000000000000004,0.9894803814460734,6.339036074397994e-06
2,forward,0.35000000000000003,0.9924728106239195,1.8475960226476136e-07
2,forward,0.4,0.9878251889446384,1.6156889842706537e-07
2,forward,0.45,0.9960131064090975,3.2143805595567154e-10
2,forward,0.5,0.9941287935796737,7.146085518690954e-09
2,forward,0.55,0.9947681159823516,3.741534102884735e-09
2,forward,0.6000000000000001,0.9916218089290718,1.1519707723737997e-09
2,forward,0.65,0.995920309133046,2.716376491085947e-11
2,forward,0.7,0.9981437308584562,1.581774609880883e-11
2,forward,0.75,0.9959130919550169,6.376000989784006e-12
2,forward,0.8,0.9990093754458015,3.391203699008386e-13
2,forward,0.8500000000000001,0.998883298392196,5.027533937357491e-14
2,forward,0.9000000000000001,0.997715048631186,5.548365715077757e-15
2,forward,0.95,0.9979331807925181,4.6270373574790237e-14
2,forward,1.0,0.9989690755025398,1.9429643065525788e-15
2,forward,1.05,0.9978225566540728,6.864405204388605e-16
2,forward,1.1,0.9979324594480063,1.4057954736022434e-16
2,forward,1.1500000000000001,0.9989338770154518,1.9047147906988724e-16
2,forward,1.2,0.9995409921191758,1.2690906251431504e-16
3,forward,0.2,0.95693895988583,3.870734423146357e-05
3,forward,0.25,0.9716280257321886,2.606671666196194e-05
3,forward,0.30000000000000004,0.9877323680817865,1.0322478860972668e-06
3,forward,0.35000000000000003,0.9935678600986155,3.3425670352297796e-08
3,forward,0.4,0.9878443376991929,5.2807346655666826e-08
3,forward,0.45,0.9925729804181168,5.583878279996908e-08
3,forward,0.5,0.9960474459725442,2.1691115773749677e-09
3,forward,0.55,0.9921995635855766,2.433710802636523e-10
3,forward,0.6000000000000001,0.9907591689129276,4.211795398098035e-10
3,forward,0.65,0.9975824210157294,2.1075443497325977e-11
3,forward,0.7,0.9984777680810456,1.1868035712226244e-12
3,forward,0.75,0.9970993619880789,2.8212425856271707e-12
3,forward,0.8,0.9957061578407704,6.6892612103114235e-12
3,forward,0.8500000000000001,0.9970855824044482,2.617562568709634e-13
3,forward,0.9000000000000001,0.9987937845850835,1.5509433872729627e-13
3,forward,0.95,0.9988233787532147,2.057013378301428e-15
3,forward,1.0,0.9977837809057675,1.1708492762825256e-14
3,forward,1.05,0.9988969982624091,3.444376352465766e-16
3,forward,1.1,0.998627014102641,4.529632840993335e-16
3,forward,1.1500000000000001,0.9990337323589271,1.1385425981939524e-16
3,forward,1.2,0.9979945678596743,1.5202354861220294e-16
4,forward,0.2,0.9869226246844898,0.000138910544919225
4,forward,0.25,0.9736261743462257,9.500743167123796e-06
4,forward,0.30000000000000004,0.9835600369667857,4.551103339301463e-06
4,forward,0.35000000000000003,0.9839332402218282,9.171323268639718e-07
4,forward,0.4,0.995159737678091,2.8331703946171258e-08
4,forward,0.45,0.9959556903647827,5.750386064095301e-10
4,forward,0.5,0.9966035581389504,1.10023307569646e-09
4,forward,0.55,0.9964749575783666,9.937856146560733e-12
4,forward,0.6000000000000001,0.9945711835906733,2.44928356998949e-10
4,forward,0.65,0.9955734492953754,1.5620091182807743e-10
4,forward,0.7,0.9988451583783922,5.013730669608708e-12
4,forward,0.75,0.9980060638275283,8.114887043459552e-14
4,forward,0.8,0.9982601848136468,6.526403475045445e-13
4,forward,0.8500000000000001,0.9973276143631851,9.732044148446907e-14
4,forward,0.9000000000000001,0.9988100068529638,1.3862793787885072e-13
4,forward,0.95,0.9971249279209858,4.9899348175778e-16
4,forward,1.0,0.9978216742846606,7.714572244672267e-15
4,forward,1.05,0.9977845394650176,2.222526742553255e-16
4,forward,1.1,0.9987603650775626,1.965491968383881e-16
4,forward,1.1500000000000001,0.9990174196674227,1.2287917140018454e-16
4,forward,1.2,0.998586667195262,1.6788490926661355e-16
5,forward,0.2,0.9691190033818786,0.00035993204602257766
5,forward,0.25,0.9496537789390065,4.4244347853735086e-05
5,forward,0.30000000000000004,0.9817646058273124,6.416622649592887e-06
5,forward,0.35000000000000003,0.9883163712736255,1.2240587327128804e-06
5,forward,0.4,0.9793632284047775,1.7860123617548332e-07
5,forward,0.45,0.9959180267754368,6.717568236790278e-09
5,forward,0.5,0.9963496060737251,3.844269870873703e-09
5,forward,0.55,0.9938625534244272,2.368425829198446e-09
5,forward,0.6000000000000001,0.9983280502215075,6.933993259643105e-11
5,forward,0.65,0.9971073178556581,2.8519987400148484e-12
5,forward,0.7,0.9967975225745761,3.997809850253417e-12
5,forward,0.75,0.9972829335206552,6.421834062578539e-12
5,forward,0.8,0.997973548960541,3.5179376154826253e-13
5,forward,0.8500000000000001,0.9967995112065984,2.544478079851199e-13
5,forward,0.9000000000000001,0.998196291153606,2.1183890045732183e-14
5,forward,0.95,0.9992029862947169,4.0287967740659714e-15
5,forward,1.0,0.9986571443135934,5.868047711583859e-15
5,forward,1.05,0.9980855534709697,3.715254262141071e-15
5,forward,1.1,0.9987355116832646,1.3695250911078322e-16
