K,seed,R_mean,R_std,dominant_cluster,dominant_fraction,switching_rate,collapse_time,memory_supported_lifetime,cluster_mean,cluster_std,single_cluster_lifetime_mean,multi_cluster_lifetime_mean,single_cluster_lifetime_max,multi_cluster_lifetime_max,n_switches
0.4,0,0.09164799796064871,0.05288575278017503,0,0.9524,0.0332,,0.5674,0.049,0.2222588580911906,2.8518518518518516,1.4,11,2,166
0.4,1,0.08012336140624782,0.04670898406422523,0,0.956,0.027,,0.6196,0.045,0.21207310060448498,3.208955223880597,1.25,16,2,135
0.4,2,0.08811449571453114,0.04951069566514652,0,0.9522,0.0328,,0.5922,0.0482,0.21604805021105833,2.8902439024390243,2.0,13,2,164
0.4,3,0.06990827213991284,0.036002780377422,0,0.9622,0.026,,0.6966,0.0384,0.19525736861895893,2.90625,3.0,10,3,130
0.4,4,0.09521390316350824,0.04780070797711829,0,0.964,0.0252,,0.6788,0.037,0.19398711297403237,2.8225806451612905,2.5,10,4,126
0.4,5,0.091816258998991,0.04130259262425287,0,0.956,0.0292,,0.6056,0.0448,0.21069636921408968,3.0,2.0,11,2,146
0.4,6,0.07953308352532414,0.040466946802929595,0,0.9572,0.0274,,0.6476,0.0436,0.20808421372127198,3.0434782608695654,2.0,9,3,137
0.4,7,0.09008299448823136,0.042162735247164344,0,0.9558,0.0296,,0.5082,0.0446,0.20835268176819804,2.9594594594594597,2.0,13,2,148
0.4,8,0.09284943513286384,0.04501515485547522,0,0.958,0.0304,,0.616,0.0424,0.2034754039189995,2.736842105263158,1.0,9,1,152
0.4,9,0.062015428633118076,0.0367399113583076,0,0.9584,0.0264,,0.642,0.0418,0.20112871500608762,3.1363636363636362,1.0,12,1,132
0.4,10,0.10032906711329269,0.05571628023170836,0,0.9598,0.0288,,0.5928,0.0418,0.20797297901410178,2.6805555555555554,2.6666666666666665,7,3,144
0.4,11,0.07546025025286822,0.037453386535511266,0,0.9666,0.0262,,0.7422,0.0338,0.18291407818973365,2.5384615384615383,1.0,8,1,131
0.4,12,0.09290430533038326,0.044678285925518445,0,0.959,0.0286,,0.545,0.0418,0.20409007815178085,2.8309859154929575,1.0,12,1,143
0.4,13,0.082641671515453,0.03787899807653257,0,0.9602,0.0264,,0.6326,0.0402,0.19845392412345997,2.984848484848485,2.0,9,2,132
0.4,14,0.07828015958617632,0.03656956866839984,0,0.9614,0.0244,,0.5858,0.0394,0.19861429958590596,3.15,2.0,8,2,122
0.4,15,0.0838262437000148,0.04375061786806174,0,0.967,0.0232,,0.711,0.0334,0.18189128621239667,2.810344827586207,2.0,12,2,116
0.4,16,0.06543662251039949,0.034503953932239304,0,0.9658,0.023,,0.6876,0.0346,0.1849400984102691,2.9649122807017543,2.0,8,2,115
