topology,K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,cluster_mean_mean,cluster_mean_std,cluster_std_mean,cluster_std_std,dominant_fraction_mean,dominant_fraction_std,switching_rate_mean,switching_rate_std,memory_score_mean,memory_score_std,reorganization_score_mean,reorganization_score_std
all_to_all,0.4,0.10574085984044486,0.0359888192676183,0.046711155517208704,0.009013256180217729,0.0605,0.044585813179105586,0.23615250837532856,0.06983622034175002,0.942075,0.0387458911234129,0.036975,0.021329171400492303,0.5528000000000001,0.18097967318255156,0.001012893161400672,0.0026274940107238547
all_to_all,0.45,0.15183245078029028,0.05350400626722104,0.055299516071899965,0.012017813930591011,0.109625,0.08003599108164433,0.31274663482849474,0.10717143130444978,0.89865,0.06867277480923571,0.0611,0.0344790554272865,0.41459999999999997,0.21277388541780562,0.0036585199020360824,0.0064234643442187345
all_to_all,0.5,0.22045226910681395,0.07165762441115693,0.06366995262379246,0.013568801656919984,0.3123,0.2843704681535949,0.526139436120303,0.24734967526073084,0.7621249999999999,0.17004967347033756,0.132775,0.08396403913831833,0.25332499999999997,0.16402408961394727,0.03654398580125235,0.06283453037531186
all_to_all,0.55,0.31846755587235454,0.08005057964305397,0.07111587788215293,0.02002192600545204,1.05785,0.7301834863130024,1.0744283433659396,0.43667112154514814,0.5015750000000001,0.19554016110575126,0.2771,0.11277243037476659,0.139225,0.0729836814853697,0.20958827440538896,0.18664318395893387
all_to_all,0.6,0.4192163856025637,0.06931670469019847,0.0798859491281843,0.036847209157356876,2.95955,1.0945668441515068,1.794171996058741,0.25728930789369,0.259375,0.06481022397414582,0.418975,0.06361406559956112,0.10282500000000001,0.014869852050373604,0.5637144644329983,0.14890483215847747
all_to_all,0.65,0.5421029723120476,0.10758978335095891,0.036535464603801124,0.04158215710811996,4.4405,1.0014050655270117,1.4284368066322246,0.3274406968538569,0.287275,0.06860824620530989,0.3536,0.14095852320153573,0.0995,0.0,0.3916458016502119,0.20216086281516743
all_to_all,0.7,0.7114267379699188,0.04502487248355331,0.0024965936854225886,0.0011640391613100126,2.3432,0.8092495776627681,0.8509352648485902,0.24576904014062018,0.447175,0.0983134454315969,0.06565,0.05035429736534803,0.0995,0.0,0.041452353299690506,0.04229383634561305
all_to_all,0.75,0.7841545791268242,0.025499100235149785,0.00023802480607610778,0.00029667000458066605,1.2013,0.3261576709442681,0.20992263675122724,0.23113202328724392,0.8758000000000001,0.18971012513555352,0.0057,0.008900620912699235,0.72035,0.3561044014567106,0.0014221089432796415,0.003962457678017876
all_to_all,0.8,0.8264406427336184,0.018246664437362572,6.933795267752156e-06,1.4587293386997869e-05,1.15,0.36634754853252327,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
all_to_all,0.85,0.8553433313775811,0.01420506346646046,2.1678790595703526e-07,5.678177810385586e-07,1.35,0.48936048492959294,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
all_to_all,0.9,0.8766413659325142,0.011560759406308208,7.58511209429236e-09,2.114637686180764e-08,1.45,0.5104177855340404,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
all_to_all,0.95,0.8930555501166287,0.009680692308010861,3.2152657142370987e-10,7.303650409725049e-10,1.45,0.5104177855340404,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
all_to_all,1.0,0.9061009174504451,0.008273278687653677,1.9445711868381914e-11,2.531102988050655e-11,1.5,0.6069769786668839,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
all_to_all,1.05,0.9167089054898947,0.007181285126983662,1.806875549003289e-12,1.7834332619471641e-12,1.45,0.6048053188292994,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
all_to_all,1.1,0.9254910156477519,0.006311031612032548,2.390049082747266e-13,2.4041056355475434e-13,1.45,0.6048053188292994,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
all_to_all,1.15,0.9328681788021955,0.005602753038875884,3.554135980932655e-14,3.552146944672475e-14,1.4,0.5026246899500346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
all_to_all,1.2,0.9391408149143172,0.005016368881324713,5.509202708959081e-15,5.602925742742004e-15,1.4,0.5026246899500346,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
modular,0.4,0.08858558741385686,0.026455450530295004,0.042435125737121465,0.011655062655089856,0.046925,0.029380567781407744,0.2072631345382725,0.05326182163189062,0.9539500000000001,0.02780283022321744,0.03025,0.01498376314197261,0.6454,0.16339543574118778,0.0004910036231963557,0.001056375505276196
modular,0.45,0.10777015208532177,0.028661403313920714,0.05077490917527788,0.009650482355327816,0.056425,0.03222220344322905,0.23127062317428715,0.06129103443130878,0.9459,0.02886930622833294,0.034749999999999996,0.015599004691595586,0.5799000000000001,0.16101214403365913,0.0006788594328541508,0.0011700388570450439
modular,0.5,0.14904697258040708,0.05596792003549596,0.05485600698296007,0.01668446759917937,0.12090000000000001,0.1081775587195714,0.3257129370460494,0.13426998583308591,0.89225,0.087364858044025,0.061450000000000005,0.04514389275008946,0.41685,0.21620568301601387,0.005315450091070504,0.01124853276772268
modular,0.55,0.19334405113325429,0.07194981606004038,0.06105347175968532,0.011116998808042816,0.24295,0.22122713381690345,0.4599549782212887,0.22081748359806802,0.805275,0.1481572311147146,0.1048,0.06877335010169655,0.27454999999999996,0.14239177792644012,0.021713900269601603,0.03617792105553357
modular,0.6,0.2714609770854466,0.08959565645839758,0.07393195139016676,0.023679266150385216,0.7416,0.6344471816595842,0.8490204218775554,0.3899348099832746,0.6,0.2266792888642454,0.20377499999999998,0.11678483082372607,0.169275,0.0943010960197511,0.12577347167183486,0.1482487117634218
modular,0.65,0.33585102742596684,0.09393351720856102,0.07132797953045833,0.02780520947531561,1.378425,1.0053970448351028,1.1492515377655352,0.3496740820032164,0.461125,0.18702918960193862,0.2846,0.11255192953523838,0.15415,0.11304646226918802,0.22489612262858283,0.17376374757214097
modular,0.7,0.43033352850408335,0.1004962751253178,0.0636844659721573,0.04572228378466934,2.623625,1.245788852547485,1.4158051330730053,0.3249652818122179,0.3378,0.0779317177507268,0.340375,0.08576480614846752,0.109325,0.03042301543931917,0.32697291261759875,0.1244449376613511
modular,0.75,0.5413174502470962,0.11153719571935351,0.03847545150212435,0.04349585281731472,3.626575,0.8096765643241686,1.3255004350023194,0.26985382848119793,0.317375,0.052518887579913374,0.2599,0.11593959407244883,0.10595000000000002,0.01985334387849802,0.2508867656214186,0.1351297709088416
modular,0.8,0.6743052055644579,0.06731138321628334,0.006607857898047352,0.008319727176991974,3.1164,0.8594200094433332,0.8144047869255537,0.30257364137597875,0.513375,0.1807130522038796,0.067425,0.06634841746417168,0.197475,0.21208398752182564,0.046051167403582574,0.06104804604516745
modular,0.85,0.7532469125683202,0.037588080007281706,0.0014058975108763693,0.0020448244568041186,2.68125,1.2220187622385992,0.2955336668316344,0.27017523897813656,0.844225,0.17261529137301096,0.0056500000000000005,0.010274009108322551,0.77945,0.32253436781380773,0.0015880995969079644,0.003872579737314076
modular,0.9,0.7982385407450966,0.02709306445944653,0.0004476084029597924,0.0007260909631672196,2.312825,1.0436307987401232,0.04600639523571533,0.133936155636754,0.973925,0.09476651015716696,0.00045,0.0016772471179694543,0.9702249999999999,0.10171198695077036,8.581609784790651e-05,0.00037719211591508584
modular,0.95,0.8290839612544734,0.021351548693295648,0.00021876896132972502,0.0004073610445861078,2.3248,0.9920031090783196,0.06219810517630005,0.14093557958188566,0.9672000000000001,0.10667145822571282,0.00045,0.0014680814547887787,0.968,0.10430887836259749,8.451020741174394e-05,0.000369540623386411
modular,1.0,0.8520475215211777,0.01763346994944023,0.00014871343587216575,0.0003876528508299558,2.225825,1.0322257667548471,0.03741265947509416,0.12508031277206888,0.9736750000000001,0.11030320353700665,0.000375,0.0013462912017836262,0.977125,0.09449420408291274,8.059756634278728e-05,0.00035914663227763966
modular,1.05,0.8699760857296566,0.01499067854875614,0.00012882912612641114,0.00038775466775640136,2.274575,1.0437198816959312,0.034476319751071474,0.12549405889238816,0.9759249999999999,0.10316877778924359,0.00032500000000000004,0.0013404143114409774,0.9780749999999999,0.09446668516076533,7.647097796146933e-05,0.00034167141497741353
modular,1.1,0.8844292804827443,0.01300299562211837,0.00011507418544470281,0.000389415135271279,2.1849,0.824906830464731,0.042961499230854294,0.13482380152135917,0.9711000000000001,0.1010081549599885,0.00022500000000000002,0.00089552983434977,0.976775,0.08482590142539943,4.581649569798113e-05,0.0001991695968236132
modular,1.15,0.8963479566778595,0.011447960544362317,0.00010592851281592999,0.00039103685151569204,1.9789,0.8374516419660176,0.025490978796429135,0.11399912280364265,0.9793,0.0925732142684913,0.0002,0.000894427190999916,0.9813000000000001,0.08362894235849212,4.221307144015188e-05,0.00018878259455846908
modular,1.2,0.9063477142134913,0.010195888234053591,9.992551491713958e-05,0.00039230721137399935,1.8364249999999998,0.9054096379540038,0.04232324038645695,0.13317452270646565,0.973725,0.09139870363586013,0.00022500000000000002,0.0008955298343497701,0.974975,0.09265903469455268,4.1182263712092e-05,0.00017901140702909646
scale_free,0.4,0.10550937667648597,0.01801487429450353,0.04886356108360314,0.009087359626837094,0.05675,0.02185990080393538,0.23336664755989825,0.04548548416981352,0.9449249999999999,0.02007700635579235,0.034925,0.010186775482793469,0.5436,0.17032156892802877,0.0005473934752747615,0.00047965797219008146
scale_free,0.45,0.12262830799650455,0.025430800523329015,0.05711041055476351,0.010404340886877937,0.075,0.04304770915110227,0.26872026455994585,0.07436729200983822,0.929575,0.036139086217440226,0.04485,0.01647973236880285,0.47755000000000003,0.14280792215972804,0.0012552630396112066,0.0018593986687354452
scale_free,0.5,0.1459054994263558,0.04535385014554725,0.059936738011067484,0.013446940584177773,0.113675,0.09042753350495343,0.31867490007058097,0.10726759732951807,0.8958,0.07800091092585497,0.059024999999999994,0.03491963517926028,0.423075,0.1713031534874266,0.004001369373072255,0.007860058091145199
scale_free,0.55,0.18864637998604095,0.05743605351192682,0.07128985246841106,0.01948546627203114,0.24630000000000002,0.2354414331018494,0.48909731449508875,0.2263185736817911,0.814925,0.1399560339798482,0.099075,0.060417467629294445,0.3335,0.1740011342975732,0.02009941666036312,0.0386047794178518
scale_free,0.6,0.2584503598205206,0.06519655802256286,0.07736372085380477,0.02389201304820597,0.530725,0.3704405085769331,0.7554660026929462,0.2515472777058053,0.658675,0.15513180092390708,0.171025,0.07469454905074892,0.187675,0.12161915047868857,0.06321748481503724,0.07247871207619955
scale_free,0.65,0.33082771599225136,0.0846341163800253,0.08328059179901227,0.03632680893560585,1.249825,0.9847595522044427,1.1024279233809986,0.2765413003320213,0.46395,0.14640812639223347,0.269875,0.08733855406586365,0.125275,0.0446475893732473,0.1867632925215309,0.12468982152088336
scale_free,0.7,0.4120920502381164,0.09664031710490048,0.06884039761392025,0.03969661579231744,2.303025,1.1883964702045935,1.4282834128407573,0.28623781077970234,0.32284999999999997,0.12585048564404552,0.3426,0.079577767326255,0.1101,0.03883250130875859,0.3563503582984154,0.15198899960267348
scale_free,0.75,0.5109869383723218,0.1183920463478362,0.04840812594140051,0.04871411996691044,3.4444749999999997,1.200003974499997,1.4483553381271637,0.27410087850729914,0.30485,0.080156606583284,0.30975,0.10453965502948731,0.10792500000000001,0.03744303568158746,0.3223244431675284,0.1490488230717625
