topology,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
all_to_all,0.4,0,0.08648299896064761,0.048070746687975854,0.034,0.18932511719262185,0,0.9675,0.022,0.6075,0.0001353674649457908
all_to_all,0.4,1,0.13641221594154926,0.056823185104891656,0.105,0.31933524703671534,0,0.899,0.052,0.194,0.0016771487496896884
all_to_all,0.4,2,0.10333499007978904,0.049973401775231956,0.0535,0.22942918297374462,0,0.9475,0.0305,0.487,0.00036737349128174065
all_to_all,0.4,3,0.09700860243418268,0.03918848399744372,0.0405,0.1971287650242856,0,0.9595,0.027,0.5735,0.0002155603125377712
all_to_all,0.4,4,0.09243248529395501,0.03822245286283461,0.0295,0.16920328011004987,0,0.9705,0.025,0.7705,0.0001247874240726584
all_to_all,0.4,5,0.10910756282335402,0.04200982799423483,0.059,0.23562470159132295,0,0.941,0.039,0.445,0.000542172452263492
all_to_all,0.4,6,0.07604572399307136,0.040376761475673706,0.0485,0.21482027371735654,0,0.9515,0.0335,0.546,0.00034902925014105825
all_to_all,0.4,7,0.23203076129147882,0.03978303577080506,0.2345,0.48837460007662153,0,0.794,0.12,0.1275,0.01207262021449925
all_to_all,0.4,8,0.07891041747369183,0.027110276309010466,0.03,0.1705872210923198,0,0.97,0.021,0.7245,0.0001074699544057782
all_to_all,0.4,9,0.07898437617581286,0.04951201722763427,0.0595,0.24891715489294827,0,0.9435,0.042,0.657,0.0005906804226247855
all_to_all,0.4,10,0.09247655210525557,0.06024061528413117,0.0605,0.24049896049671401,0,0.94,0.037,0.595,0.0005339077067326432
all_to_all,0.4,11,0.14785905532418553,0.04822631597042828,0.068,0.26148804944012255,0,0.9345,0.042,0.374,0.0007193536411372445
all_to_all,0.4,12,0.07879696423090325,0.04972641807983079,0.041,0.19829019138626097,0,0.959,0.023,0.628,0.0001869876586071421
all_to_all,0.4,13,0.09809163567143964,0.05721917768917533,0.0475,0.2241511766643218,0,0.955,0.0315,0.682,0.0003177343030084794
all_to_all,0.4,14,0.08585256033674445,0.05205419636422321,0.042,0.203066491573573,0,0.9585,0.035,0.783,0.0002949540874378741
all_to_all,0.4,15,0.08176505401005288,0.053288321118377245,0.0485,0.24929450455234664,0,0.9575,0.025,0.7245,0.00026487542168188464
all_to_all,0.4,16,0.09169674981494882,0.041329902664168416,0.043,0.20285709255532572,0,0.957,0.027,0.5515,0.00023551709317958834
all_to_all,0.4,17,0.13329335391109512,0.03227624039255509,0.0675,0.2548406364769952,0,0.9335,0.039,0.4845,0.0006609292076499893
all_to_all,0.4,18,0.10022628007357824,0.04866064697427489,0.0315,0.17466467874186814,0,0.9685,0.024,0.727,0.00013204650263078959
all_to_all,0.4,19,0.11400885686316135,0.060131086601273524,0.0665,0.25115284191105625,0,0.934,0.044,0.374,0.0007293478694857942
all_to_all,0.45,0,0.10298565214575245,0.04902022976563661,0.0435,0.20397977840952766,0,0.9565,0.034,0.6275,0.00030168610114081167
all_to_all,0.45,1,0.19759532197885107,0.07568295286368718,0.1965,0.47104962583574994,0,0.8345,0.0965,0.3035,0.007523015889775015
all_to_all,0.45,2,0.11264058705094541,0.06055546918620138,0.034,0.1945353438324255,0,0.968,0.027,0.8305,0.00016807854329634677
all_to_all,0.45,3,0.12556271231966462,0.04555748442497704,0.0945,0.29760670355353225,0,0.907,0.0545,0.2565,0.0015084196046385012
all_to_all,0.45,4,0.23433780172508084,0.03929315520430072,0.1915,0.42758361755333896,0,0.822,0.11,0.1095,0.008372087307804263
all_to_all,0.45,5,0.18954207932648837,0.05112084652922208,0.1795,0.42341439512609863,0,0.8355,0.083,0.186,0.005781088513505854
all_to_all,0.45,6,0.07917068151962384,0.055409984363118954,0.0405,0.19712876502428558,0,0.9595,0.022,0.6145,0.00017564173762035337
all_to_all,0.45,7,0.29168243603623245,0.03067614047118748,0.3575,0.5680613963296574,0,0.688,0.1605,0.0995,0.028446242659839083
all_to_all,0.45,8,0.10906716443411167,0.046990138466883484,0.039,0.19359493795035035,0,0.961,0.035,0.648,0.0002642570978524311
all_to_all,0.45,9,0.11615488261560873,0.07069170800847065,0.075,0.2745450782658469,0,0.928,0.046,0.533,0.0009092933189837299
all_to_all,0.45,10,0.18198673845844213,0.04589493011659683,0.0995,0.3187471568500651,0,0.9065,0.061,0.27,0.0018179744388972059
all_to_all,0.45,11,0.194098947017589,0.04974133249118647,0.1905,0.44967738435460597,0,0.832,0.095,0.338,0.007176851129845314
all_to_all,0.45,12,0.10727849074384971,0.07302933268167633,0.0625,0.24818088161661447,0,0.939,0.039,0.6455,0.0005904223325049601
