seed,K,init_kind,R_mean,R_std,cluster_mean,cluster_std,cluster_final,single_cluster_fraction,multi_cluster_fraction
0,0.4,random,0.07460252273203576,0.03388307198461971,0.0,0.0,0,1.0,0.0
0,0.425,random,0.07549552676521129,0.03950155262507978,0.0,0.0,0,1.0,0.0
0,0.45,random,0.0694407350669209,0.04577840536360831,0.0,0.0,0,1.0,0.0
0,0.475,random,0.07032502601999437,0.0445245335460971,0.001,0.03160696125855822,0,1.0,0.0
0,0.5,random,0.08696039383011665,0.04079756822409738,0.0015,0.03870077518603471,0,1.0,0.0
0,0.525,random,0.14903502727715714,0.06377405498692387,0.013,0.11327400407860577,0,1.0,0.0
0,0.55,random,0.17238577537113645,0.04213385498328229,0.0095,0.09700386590234433,0,1.0,0.0
0,0.575,random,0.27466555539557475,0.07747285304688492,0.051,0.21999772726098785,0,1.0,0.0
0,0.6,random,0.4013382679081375,0.1145006576321919,1.0335,1.0603667997443151,0,0.6755,0.3245
0,0.625,random,0.4140270627576482,0.10537137242009446,1.26,1.1812705024675763,1,0.605,0.395
0,0.65,random,0.44413655368745775,0.12172879714465863,2.3175,1.3366726413000305,3,0.255,0.745
0,0.675,random,0.655335165294158,0.002918462291237717,2.569,1.1109630956967023,2,0.2125,0.7875
0,0.7,random,0.7215058507504217,0.0026418819565708906,1.235,0.6186881282197032,1,0.8515,0.1485
0,0.725,random,0.7609966879336674,0.0019048050420257133,1.0,0.0,1,1.0,0.0
0,0.75,random,0.7897553684589964,0.0010275746765307907,1.0,0.0,1,1.0,0.0
0,0.775,random,0.8120275341320551,0.00023619866438077494,1.0,0.0,1,1.0,0.0
0,0.8,random,0.830084930661145,2.6130384701545124e-05,1.0,0.0,1,1.0,0.0
0,0.825,random,0.8450939292879752,2.687192105604091e-06,1.01,0.099498743710662,1,0.99,0.01
0,0.85,random,0.8578263037036513,2.6291353840701456e-07,1.0735,0.26095545596902164,1,0.9265,0.0735
0,0.875,random,0.8687956224078104,2.4888091223223056e-08,1.181,0.3850181813888794,1,0.819,0.181
0,0.9,random,0.8783608364676881,2.329314302982607e-09,1.252,0.43416126036301306,1,0.748,0.252
0,0.925,random,0.8867834981926552,2.1914176556403175e-10,1.2395,0.42677833825066613,1,0.7605,0.2395
0,0.95,random,0.8942603945571684,2.092508675650834e-11,1.2645,0.4410666049475975,1,0.7355,0.2645
0,0.975,random,0.9009434082046139,2.0359321294985517e-12,1.318,0.46569947390994554,1,0.682,0.318
0,1.0,random,0.9069522289791924,2.0169425801207293e-13,1.382,0.4858765275252551,1,0.618,0.382
0,1.025,random,0.9123828239354255,2.021540090995086e-14,1.329,0.46984997605618756,2,0.671,0.329
0,1.05,random,0.9173132720332992,2.0174710580937786e-15,1.2135,0.4097776836285744,2,0.7865,0.2135
0,1.075,random,0.9218078978394951,2.7405872790916765e-16,1.0935,0.2911318429852702,1,0.9065,0.0935
0,1.1,random,0.925920271289137,3.5203874901122086e-16,1.0385,0.19239997401247227,1,0.9615,0.0385
0,1.125,random,0.9296954302212639,1.7476758330430174e-16,1.009,0.09444045743218316,1,0.991,0.009
0,1.15,random,0.933171557128428,2.558215007661275e-16,1.0,0.0,1,1.0,0.0
0,1.175,random,0.9363812644028269,1.570681133000035e-16,1.0,0.0,1,1.0,0.0
0,1.2,random,0.9393525934192689,3.4177923244534643e-16,1.0,0.0,1,1.0,0.0
1,0.4,random,0.07007444411401428,0.03710438226460913,0.0015,0.03870077518603471,0,1.0,0.0
1,0.425,random,0.11895844252861025,0.03954785701227661,0.0055,0.07395775821372631,0,1.0,0.0
1,0.45,random,0.21989122091316357,0.03463152025574071,0.011,0.10430244484191156,0,1.0,0.0
1,0.475,random,0.258319005861423,0.052624451639047436,0.0365,0.1875306641592249,0,1.0,0.0
1,0.5,random,0.2967610439072271,0.054961430923195706,0.066,0.25028783430282825,0,0.9995,0.0005
1,0.525,random,0.3631013237228831,0.09539767448837647,0.3115,0.5928471556817997,0,0.94,0.06
1,0.55,random,0.43321576094423664,0.09189709513751394,0.7415,0.9185193247830988,1,0.796,0.204
1,0.575,random,0.4571023824095499,0.04484939392273708,1.445,1.0468882461848543,0,0.5515,0.4485
1,0.6,random,0.6087324484713247,0.006868613582034267,2.828,1.1451707296294296,1,0.112,0.888
1,0.625,random,0.6919740986444318,0.004747375835632897,1.3655,0.562947377647325,1,0.6765,0.3235
1,0.65,random,0.7413443067048598,0.0035835469950729654,1.233,0.46873339970605893,2,0.7875,0.2125
1,0.675,random,0.7758357418487087,0.0020628747618895954,1.038,0.19119623427254,1,0.962,0.038
1,0.7,random,0.8021947915376263,0.0006782421641650479,1.017,0.12927103310486848,1,0.983,0.017
1,0.725,random,0.8233033504913883,6.151611034982349e-05,1.0,0.0,1,1.0,0.0
1,0.75,random,0.8405862833237133,4.383445701153444e-06,1.0635,0.24386010333795896,1,0.9365,0.0635
1,0.775,random,0.8550253179198084,3.297472126182106e-07,1.169,0.37475191794038887,1,0.831,0.169
1,0.8,random,0.8673017317066721,2.5855814077444408e-08,1.283,0.45045643518546835,1,0.717,0.283
1,0.825,random,0.8778820672093776,2.0895170472667723e-09,1.326,0.46874726665869754,2,0.674,0.326
1,0.85,random,0.8871005746822039,1.7124066553968108e-10,1.393,0.488416830176848,1,0.607,0.393
1,0.875,random,0.8952052504750136,1.3728684520726782e-11,1.391,0.48797438457361664,2,0.609,0.391
1,0.9,random,0.9023851945923914,9.982081552510572e-13,1.3635,0.4810070165808395,1,0.6365,0.3635
1,0.925,random,0.908787804524048,1.0053513365086721e-13,1.13,0.33630343441600474,1,0.87,0.13
1,0.95,random,0.9145300733420474,3.1332102199402376e-14,1.0835,0.2766364943386899,1,0.9165,0.0835
1,0.975,random,0.9197062858688793,9.339340667063713e-15,1.0585,0.23468649300716052,1,0.9415,0.0585
1,1.0,random,0.9243934196980254,2.5904717519933874e-15,1.0485,0.2148202737173565,1,0.9515,0.0485
1,1.025,random,0.9286550318439216,7.139001670957571e-16,1.029,0.16780643611018023,1,0.971,0.029
1,1.05,random,0.9325441163259516,2.1220948219068842e-16,1.0105,0.10193012312363799,1,0.9895,0.0105
1,1.075,random,0.9361052445744493,1.8747653483326734e-16,1.0,0.0,1,1.0,0.0
1,1.1,random,0.9393761949199354,1.3343476739542479e-16,1.0,0.0,1,1.0,0.0
1,1.125,random,0.9423892110132169,1.2546011417772583e-16,1.0,0.0,1,1.0,0.0
1,1.15,random,0.9451719860986889,1.9807449124786678e-16,1.0,0.0,1,1.0,0.0
1,1.175,random,0.9477484416384313,1.1859136067139692e-16,1.0,0.0,1,1.0,0.0
1,1.2,random,0.9501393495514578,1.1237409603355315e-16,1.0,0.0,1,1.0,0.0
2,0.4,random,0.10367276246552157,0.049014454909309293,0.0025,0.04993746088859544,0,1.0,0.0
2,0.425,random,0.10879065577763032,0.04498860068439456,0.0005,0.02235508890610816,0,1.0,0.0
2,0.45,random,0.11823103533025775,0.039437896186788016,0.0,0.0,0,1.0,0.0
2,0.475,random,0.1229425476710379,0.037888465785595536,0.0025,0.04993746088859544,0,1.0,0.0
2,0.5,random,0.12073457587039285,0.04952811541077974,0.0,0.0,0,1.0,0.0
2,0.525,random,0.17885539164361303,0.04200212920805662,0.0055,0.07395775821372631,0,1.0,0.0
2,0.55,random,0.13680329748157924,0.062195121880602264,0.0065,0.08036012692872008,0,1.0,0.0
2,0.575,random,0.22129920058269748,0.13063205009579293,0.108,0.32609201155502104,0,0.995,0.005
2,0.6,random,0.33123715194825537,0.10762403330730831,0.4655,0.743511768568595,0,0.9125,0.0875
2,0.625,random,0.3136331695043158,0.1528092110830491,0.528,0.9355297964255334,1,0.857,0.143
2,0.65,random,0.4156600620122408,0.16181236033765042,1.4065,1.2005239481159882,2,0.5185,0.4815
2,0.675,random,0.511316436808189,0.019093475892950997,3.2815,1.065015375475866,3,0.031,0.969
2,0.7,random,0.662095745098563,0.001736050370067071,1.8695,0.6336164060375962,2,0.2745,0.7255
2,0.725,random,0.7215367396041927,0.00037736228553706823,1.0,0.0,1,1.0,0.0
2,0.75,random,0.7604830767858893,1.4377344128670494e-05,1.0,0.0,1,1.0,0.0
2,0.775,random,0.7890668323902187,5.767498086235953e-07,1.0,0.0,1,1.0,0.0
2,0.8,random,0.8114100579504606,3.127194843941797e-08,1.0,0.0,1,1.0,0.0
2,0.825,random,0.8295532874935907,3.1421959046416927e-09,1.0,0.0,1,1.0,0.0
2,0.85,random,0.8446692466481512,4.832684975248487e-10,1.0,0.0,1,1.0,0.0
2,0.875,random,0.8575014459560734,8.941564762240082e-11,1.0,0.0,1,1.0,0.0
2,0.9,random,0.8685534091409753,1.8334546973008622e-11,1.0,0.0,1,1.0,0.0
2,0.925,random,0.8781827765929485,4.023996737262704e-12,1.0,0.0,1,1.0,0.0
2,0.95,random,0.8866529132685196,9.289277984368164e-13,1.0,0.0,1,1.0,0.0
2,0.975,random,0.8941633379079887,2.234137133877887e-13,1.0,0.0,1,1.0,0.0
2,1.0,random,0.900868700623749,5.565409857428736e-14,1.0,0.0,1,1.0,0.0
2,1.025,random,0.9068911607653579,1.4299626225973066e-14,1.0,0.0,1,1.0,0.0
2,1.05,random,0.9123287606655234,3.7809761259820104e-15,1.0,0.0,1,1.0,0.0
2,1.075,random,0.9172612650260216,1.037016057296559e-15,1.0,0.0,1,1.0,0.0
2,1.1,random,0.9217543384018186,3.1847149496194846e-16,1.0,0.0,1,1.0,0.0
2,1.125,random,0.9258625997055199,2.2991268696100663e-16,1.0,0.0,1,1.0,0.0
2,1.15,random,0.9296318981296852,2.225297973982015e-16,1.0,0.0,1,1.0,0.0
2,1.175,random,0.9331010371134401,1.2486924693357872e-16,1.0,0.0,1,1.0,0.0
2,1.2,random,0.936303099327002,1.6824549905012568e-16,1.0,0.0,1,1.0,0.0
3,0.4,random,0.1575338521198553,0.06223817307686231,0.002,0.044676615807377355,0,1.0,0.0
3,0.425,random,0.17445663124410352,0.0628996275138361,0.0065,0.08036012692872008,0,1.0,0.0
3,0.45,random,0.17949901580194902,0.07914306637237735,0.0,0.0,0,1.0,0.0
3,0.475,random,0.19432479303388095,0.10123610578615715,0.0235,0.15148514778683753,0,1.0,0.0
3,0.5,random,0.21705504500591974,0.10356227177053637,0.035,0.18377975949489103,0,1.0,0.0
3,0.525,random,0.24668618872108092,0.08639256775674652,0.0315,0.18843500205641203,0,0.9975,0.0025
3,0.55,random,0.2882856634822151,0.10647671119056021,0.1765,0.4498308015243065,0,0.9755,0.0245
3,0.575,random,0.3189679267410027,0.08381226638364628,0.3195,0.5860202641547475,0,0.9515,0.0485
3,0.6,random,0.3895925477881333,0.06303442643352691,0.627,0.8431316623161534,0,0.846,0.154
3,0.625,random,0.46298495667989514,0.031708809848258655,1.933,1.1762274439920197,1,0.391,0.609
3,0.65,random,0.6025753319309668,0.006324709853275716,3.276,1.0544306520582565,3,0.04,0.96
3,0.675,random,0.6740258455371148,0.0033802395065899316,1.4735,0.6665566367533969,1,0.596,0.404
3,0.7,random,0.7221513580087954,0.002040228193755783,1.0235,0.1514851477868375,1,0.9765,0.0235
3,0.725,random,0.7572371231997392,0.0009210454173893164,1.0,0.0,1,1.0,0.0
3,0.75,random,0.7845229896741329,0.0001391830947245839,1.0,0.0,1,1.0,0.0
3,0.775,random,0.8065178605798715,1.3431903573430061e-05,1.0,0.0,1,1.0,0.0
3,0.8,random,0.8246482380826371,1.3305282398053202e-06,1.0,0.0,1,1.0,0.0
3,0.825,random,0.8399104476714031,1.1761547453068612e-07,1.0,0.0,1,1.0,0.0
3,0.85,random,0.8529649593059624,9.195334138943911e-09,1.0,0.0,1,1.0,0.0
3,0.875,random,0.8642719254412811,6.813794918947314e-10,1.0,0.0,1,1.0,0.0
3,0.9,random,0.8741655865953011,5.154796658204684e-11,1.0,0.0,1,1.0,0.0
3,0.925,random,0.8828965572569618,4.223922452094976e-12,1.0,0.0,1,1.0,0.0
3,0.95,random,0.8906575155447491,4.0795016440199815e-13,1.0,0.0,1,1.0,0.0
3,0.975,random,0.8975996456881163,5.321389687395866e-14,1.0,0.0,1,1.0,0.0
3,1.0,random,0.9038436031694886,9.922057332371039e-15,1.0,0.0,1,1.0,0.0
3,1.025,random,0.9094870740580036,2.3704327573884673e-15,1.0,0.0,1,1.0,0.0
3,1.05,random,0.9146101319381665,7.002198708077121e-16,1.0,0.0,1,1.0,0.0
3,1.075,random,0.9192791237357413,3.1111016583378457e-16,1.0,0.0,1,1.0,0.0
3,1.1,random,0.9235495456499964,2.5301152120708e-16,1.0,0.0,1,1.0,0.0
3,1.125,random,0.9274682092745756,1.970606775961879e-16,1.0,0.0,1,1.0,0.0
3,1.15,random,0.9310748984418112,1.3701249707209655e-16,1.0,0.0,1,1.0,0.0
3,1.175,random,0.934403653962102,1.3851116826454064e-16,1.0,0.0,1,1.0,0.0
3,1.2,random,0.9374837820430013,1.0268812799690621e-16,1.0,0.0,1,1.0,0.0
4,0.4,random,0.16409631339127143,0.03536203426065029,0.0005,0.02235508890610816,0,1.0,0.0
4,0.425,random,0.20039837210912106,0.02423167860911645,0.0015,0.03870077518603471,0,1.0,0.0
4,0.45,random,0.2517485925655839,0.025636743999046006,0.019,0.13652472303579302,0,1.0,0.0
4,0.475,random,0.29045585030232335,0.03254688562539211,0.02,0.13999999999999999,0,1.0,0.0
4,0.5,random,0.3140595385829983,0.04479936695899278,0.0275,0.1635351644142629,0,1.0,0.0
4,0.525,random,0.3164842205396792,0.04572380173043036,0.0205,0.14170303454760594,0,1.0,0.0
4,0.55,random,0.3557626060905336,0.12023126649478731,0.495,0.9720982460636373,3,0.8745,0.1255
4,0.575,random,0.37894572013966626,0.1412856983342651,0.769,1.1138397550814927,1,0.7615,0.2385
4,0.6,random,0.41172592899462634,0.0807297187985757,0.9605,1.217760136480087,0,0.7085,0.2915
4,0.625,random,0.4453243613603584,0.09998354781148738,1.7825,1.2736537009721285,0,0.393,0.607
4,0.65,random,0.5298268967855584,0.013448245518953388,2.809,1.0855961495878659,2,0.1225,0.8775
4,0.675,random,0.6452734406067314,0.0036326744742522727,1.33,0.5129327441292864,1,0.691,0.309
4,0.7,random,0.7059086949852651,0.0018626407836705163,1.0735,0.2609554559690216,1,0.9265,0.0735
4,0.725,random,0.7465023099333327,0.0006843773117447936,1.0105,0.10193012312363799,1,0.9895,0.0105
4,0.75,random,0.7769180130677796,9.950289068508002e-05,1.0,0.0,1,1.0,0.0
4,0.775,random,0.8007802960072441,8.544987432155471e-06,1.0,0.0,1,1.0,0.0
4,0.8,random,0.8201235508092217,7.905456869391728e-07,1.0,0.0,1,1.0,0.0
4,0.825,random,0.836224781911941,7.540673775662532e-08,1.0,0.0,1,1.0,0.0
4,0.85,random,0.8498874910964701,6.64281790450717e-09,1.0,0.0,1,1.0,0.0
4,0.875,random,0.8616519566817836,5.038644389046925e-10,1.161,0.367530951077593,1,0.839,0.161
4,0.9,random,0.8719001837738451,3.680296547003888e-11,1.148,0.35509998591945907,1,0.852,0.148
4,0.925,random,0.8809127284288933,3.4965334900533178e-12,1.223,0.41625833324991823,2,0.777,0.223
4,0.95,random,0.8889018454691429,5.385377844267553e-13,1.159,0.3656760861746362,1,0.841,0.159
4,0.975,random,0.8960319902816059,1.1256633010213441e-13,1.2215,0.4152562461902289,1,0.7785,0.2215
4,1.0,random,0.9024331019432504,2.6113037226596323e-14,1.252,0.43416126036301306,1,0.748,0.252
4,1.025,random,0.9082095408758175,6.318213294406842e-15,1.248,0.4318518264405049,1,0.752,0.248
4,1.05,random,0.913446294923298,1.5782670610034593e-15,1.242,0.4282942913464992,1,0.758,0.242
4,1.075,random,0.9182134052416637,4.384537658828663e-16,1.231,0.42147241902644117,1,0.769,0.231
4,1.1,random,0.9225691958183563,1.4585812468861363e-16,1.2185,0.41322844771385236,1,0.7815,0.2185
4,1.125,random,0.9265626773035817,1.0672009800936447e-16,1.2025,0.40186284973856434,1,0.7975,0.2025
4,1.15,random,0.9302353675628686,1.27675647831893e-16,1.1805,0.384603367119946,1,0.8195,0.1805
4,1.175,random,0.9336226916475644,2.6112672114328173e-16,1.157,0.36380076965284175,1,0.843,0.157
4,1.2,random,0.9367550729310995,9.553725552076524e-17,1.1265,0.33241201843495366,1,0.8735,0.1265
5,0.4,random,0.0909655427118526,0.04510823230031351,0.0005,0.02235508890610816,0,1.0,0.0
5,0.425,random,0.09696985064358075,0.0661093626775701,0.0015,0.03870077518603471,0,1.0,0.0
5,0.45,random,0.1873939751031794,0.054263208238600105,0.012,0.1088852607105296,0,1.0,0.0
5,0.475,random,0.22265874998771643,0.0379020259534267,0.0025,0.04993746088859544,0,1.0,0.0
5,0.5,random,0.25047029859455594,0.04688337139927995,0.0225,0.14830289949963893,0,1.0,0.0
5,0.525,random,0.28319717187125004,0.06989506465195328,0.0375,0.19517620244281836,0,0.999,0.001
5,0.55,random,0.35202332181024953,0.06656933485094009,0.2315,0.4689432268409471,0,0.982,0.018
5,0.575,random,0.38007701960508533,0.0937785070398906,0.692,0.9176796826780028,1,0.8005,0.1995
5,0.6,random,0.4593193617032921,0.11004516137107717,1.7635,1.398773659317332,2,0.449,0.551
5,0.625,random,0.42864315736915914,0.06092692957916288,1.9455,1.2520102835040934,0,0.374,0.626
5,0.65,random,0.6161589914804588,0.004941234632763582,2.3225,1.1926834240484774,3,0.2925,0.7075
5,0.675,random,0.6959149217352908,0.0025268822864993098,1.0965,0.2986431817403505,1,0.9045,0.0955
5,0.7,random,0.7428317732199429,0.0005423885209209346,1.005,0.07053367989832943,1,0.995,0.005
5,0.725,random,0.7764874184459866,2.51690007406059e-05,1.0,0.0,1,1.0,0.0
5,0.75,random,0.8020909803535353,9.871567514936264e-07,1.0,0.0,1,1.0,0.0
5,0.775,random,0.8224883414481711,4.122785949132349e-08,1.0,0.0,1,1.0,0.0
5,0.8,random,0.8392521150571247,1.971394612821891e-09,1.0,0.0,1,1.0,0.0
5,0.825,random,0.8533337511688752,1.5364578655979494e-10,1.0,0.0,1,1.0,0.0
5,0.85,random,0.8653575157409971,2.335602175168974e-11,1.0365,0.1875306641592249,2,0.9635,0.0365
5,0.875,random,0.8757568422031959,4.540589629217369e-12,1.0665,0.2491540688008125,1,0.9335,0.0665
5,0.9,random,0.8848455155431532,9.499902264646945e-13,1.0805,0.27206570897487253,1,0.9195,0.0805
5,0.925,random,0.892858128455898,2.0793765779039592e-13,1.0845,0.27813620763935065,1,0.9155,0.0845
5,0.95,random,0.8999745980026105,4.7280940743274454e-14,1.0565,0.23088471149038867,1,0.9435,0.0565
5,0.975,random,0.9063357957944372,1.112300196141583e-14,1.063,0.24296296014001809,1,0.937,0.063
5,1.0,random,0.9120539317586533,2.6984735151454403e-15,1.0645,0.24564150707891366,2,0.9355,0.0645
5,1.025,random,0.9172196911563361,6.795435618072985e-16,1.0,0.0,1,1.0,0.0
5,1.05,random,0.9219072814241742,3.2994363900596666e-16,1.0,0.0,1,1.0,0.0
5,1.075,random,0.9261780876162463,1.441580884720522e-16,1.0,0.0,1,1.0,0.0
5,1.1,random,0.9300833747729983,2.167921899397453e-16,1.0,0.0,1,1.0,0.0
5,1.125,random,0.9336663212523033,2.4612169622937117e-16,1.0,0.0,1,1.0,0.0
5,1.15,random,0.9369635723487881,1.982921726761039e-16,1.0,0.0,1,1.0,0.0
5,1.175,random,0.9400064435440675,2.237037408604468e-16,1.0,0.0,1,1.0,0.0
5,1.2,random,0.9428218636753061,1.4202612388407336e-16,1.0,0.0,1,1.0,0.0
6,0.4,random,0.10798808522275481,0.05233583809793097,0.0015,0.038700775186034715,0,1.0,0.0
6,0.425,random,0.12605039810536398,0.04279317873886908,0.002,0.044676615807377355,0,1.0,0.0
6,0.45,random,0.14701040289408268,0.03239220640018962,0.003,0.054690035655501276,0,1.0,0.0
