K,R_mean_mean,R_mean_std,R_std_mean,R_std_std,R_var_mean,R_var_std,R_ac1_mean,R_ac1_std,recovery_proxy_mean,recovery_proxy_std,R_range_mean,R_range_std,rolling_var_mean,rolling_var_max_mean,rolling_ac1_mean,dR_dK,dVar_dK,dAC1_dK,dRecoveryProxy_dK,critical_slowing_score
0.4,0.1277078780857118,0.032220126897419384,0.047350851094625314,0.01584626779667334,0.0024806520923150712,0.0018810957199119761,0.9999621300222596,2.5797973205842595e-05,0.008151202742327768,0.002781569880808145,0.16384229609550643,0.040770655836649544,0.0001801279246905994,0.0008065388355738398,0.9997701469279787,0.8266162302146896,0.033896725801375066,0.00031664752312199384,-0.03578397446846291,0.7105637788465177
0.425,0.148373283841079,0.051518598279314994,0.05445306192736834,0.019545743488265908,0.0033280702373494468,0.002017350706821586,0.9999700462103377,2.2031348980372018e-05,0.007256603380616197,0.0025010531291596635,0.18577874238874018,0.061363051796584266,0.0001918031889277394,0.0007633389478353065,0.999779577059819,1.6912537075668919,0.014381074886750445,0.00022772929820646937,-0.021486772169041046,0.8884024799077876
0.45,0.21227056346405648,0.0585458978819673,0.055056598445291836,0.013317056901285856,0.0031997058366525916,0.001365703933057583,0.9999735164871701,1.354273030243819e-05,0.00707686413387572,0.0020286581152551345,0.18596673698918056,0.044143696722650415,0.0001992911665490713,0.0008481751130643897,0.9997737280221566,2.2406385770292534,-0.008859536679505453,-0.00014593931562600915,0.02061976718391967,0.9409331519928781
0.475,0.26040521269254163,0.08101890212331171,0.049580156908025454,0.021198347610622625,0.002885093403374174,0.002449938213292219,0.9999627492445562,1.825785486747813e-05,0.008287591739812177,0.00241823942258581,0.1697679323019239,0.06464469955227915,0.00019965279881624596,0.0008973089056791277,0.9997279700577334,2.3623723510717696,-0.019216359434340836,-0.0003791836569142504,0.041969180759162145,0.8946924747098536
0.5,0.33038918101764503,0.09681185535448966,0.04426324179740454,0.017157269152110043,0.0022388878649355496,0.0018361995004483396,0.9999545573043246,2.3330515109460313e-05,0.009175323171833828,0.002757145793785656,0.15972045977883184,0.05617954567743735,0.00018383775214898416,0.0008319291754899684,0.9997040055144557,2.598200672328307,-0.02994122250988127,-0.000648249637858811,0.06435020399422167,0.8504532044406168
0.525,0.3903152463089571,0.09691208103571353,0.03361070361853673,0.016490918717728485,0.001388032277880109,0.0017729509391324328,0.9999303367626633,3.494487495549953e-05,0.011505101939523263,0.0035518559754280565,0.12138529391617377,0.049401820288892236,0.00013574860762494945,0.0006587230791477074,0.9996340460586506,2.2266365981110754,-0.011098285076895371,-0.0003715029251232238,0.0360289605874731,0.7110091357674152
0.55,0.4417210109231989,0.08213947971963186,0.03668310334466476,0.0188714080610248,0.0016839736110907805,0.0022434325294736833,0.9999359821580684,2.8265117394261366e-05,0.010976771201207484,0.0028938382094856187,0.1349434327248789,0.059681988793165365,0.0001653272186418248,0.0007390983829511034,0.9995998634278582,1.8687040787906604,-0.007864962786781959,-0.00019113573983986498,0.010750982471578185,0.7037171599890025
0.575,0.48375045024849006,0.05736124467092326,0.02979934995383198,0.01060202964034766,0.0009947841385410162,0.0008844357971575232,0.9999207799756714,2.8911015489788585e-05,0.012042651063102166,0.0025569635566434325,0.11141502415579636,0.030530196270624796,0.0001367653298973057,0.0007100534081603153,0.9994808929835992,1.2071495964796313,-0.0159464787617723,-0.0008391254590911501,0.060130802971157665,0.5705329368630372
0.6,0.5020784907471801,0.05040554570856315,0.028662281687697366,0.00827954241408224,0.0008866496730021692,0.000499930005819433,0.9998940258851137,5.2370643998377976e-05,0.013983311349765364,0.003870451938989238,0.10872358063439128,0.024126355765892362,0.00013624487441223638,0.0006615015299161733,0.9993167437516943,0.7719256782125825,0.00040416940137099483,-0.0010559716961964227,0.05399105466853993,0.4982721009236494
0.625,0.5223467341591193,0.041311304155885784,0.031113608140217387,0.007028962422986194,0.0010149926086095659,0.0004440391497374293,0.9998679813908616,6.474961853717736e-05,0.014742203796529166,0.003644069770851367,0.11530706156697815,0.023148876181345087,0.00018266383014602284,0.000757408893628235,0.9990763325167858,0.691987514479159,0.01734677856993539,-0.0005457786656748453,0.010660442694635786,0.49345619124123746
