outsider_fraction,local_boost,K,state,count,fraction
0.05,1.0,0.4,absorbed,2,0.1
0.05,1.0,0.4,dual_cluster,18,0.9
0.05,1.0,0.42500000000000004,absorbed,1,0.05
0.05,1.0,0.42500000000000004,dual_cluster,19,0.95
0.05,1.0,0.45,dual_cluster,20,1.0
0.05,1.0,0.47500000000000003,absorbed,2,0.1
0.05,1.0,0.47500000000000003,dual_cluster,18,0.9
0.05,1.0,0.5,dual_cluster,18,0.9
0.05,1.0,0.5,fragmented,2,0.1
0.05,1.0,0.525,absorbed,1,0.05
0.05,1.0,0.525,dual_cluster,16,0.8
0.05,1.0,0.525,fragmented,3,0.15
0.05,1.0,0.55,absorbed,1,0.05
0.05,1.0,0.55,dual_cluster,19,0.95
0.05,1.0,0.575,dual_cluster,20,1.0
0.05,1.0,0.6,dual_cluster,20,1.0
0.05,1.0,0.625,dual_cluster,20,1.0
0.05,1.0,0.65,dual_cluster,20,1.0
0.05,1.0,0.675,dual_cluster,20,1.0
0.05,1.0,0.7,dual_cluster,20,1.0
0.05,1.0,0.725,dual_cluster,20,1.0
0.05,1.0,0.75,dual_cluster,20,1.0
0.05,1.0,0.7749999999999999,dual_cluster,20,1.0
0.05,1.0,0.8,dual_cluster,20,1.0
0.05,1.0,0.825,dual_cluster,20,1.0
0.05,1.0,0.85,dual_cluster,20,1.0
0.05,1.0,0.875,dual_cluster,20,1.0
0.05,1.0,0.8999999999999999,dual_cluster,20,1.0
0.05,1.0,0.9249999999999999,dual_cluster,20,1.0
0.05,1.0,0.95,dual_cluster,20,1.0
0.05,1.0,0.975,dual_cluster,20,1.0
0.05,1.0,1.0,dual_cluster,20,1.0
0.05,1.0,1.025,dual_cluster,20,1.0
0.05,1.0,1.0499999999999998,dual_cluster,20,1.0
0.05,1.0,1.075,dual_cluster,20,1.0
0.05,1.0,1.1,dual_cluster,20,1.0
0.05,1.0,1.125,dual_cluster,20,1.0
0.05,1.0,1.15,dual_cluster,20,1.0
0.05,1.0,1.1749999999999998,dual_cluster,20,1.0
0.05,1.0,1.2,dual_cluster,20,1.0
0.05,1.5,0.4,dual_cluster,20,1.0
0.05,1.5,0.42500000000000004,dual_cluster,20,1.0
0.05,1.5,0.45,absorbed,2,0.1
0.05,1.5,0.45,dual_cluster,18,0.9
0.05,1.5,0.47500000000000003,absorbed,2,0.1
0.05,1.5,0.47500000000000003,dual_cluster,18,0.9
0.05,1.5,0.5,dual_cluster,20,1.0
0.05,1.5,0.525,dual_cluster,20,1.0
0.05,1.5,0.55,absorbed,2,0.1
0.05,1.5,0.55,dual_cluster,18,0.9
0.05,1.5,0.575,dual_cluster,20,1.0
0.05,1.5,0.6,dual_cluster,20,1.0
0.05,1.5,0.625,dual_cluster,20,1.0
0.05,1.5,0.65,dual_cluster,20,1.0
0.05,1.5,0.675,dual_cluster,20,1.0
0.05,1.5,0.7,dual_cluster,20,1.0
0.05,1.5,0.725,dual_cluster,20,1.0
0.05,1.5,0.75,dual_cluster,20,1.0
0.05,1.5,0.7749999999999999,dual_cluster,20,1.0
0.05,1.5,0.8,dual_cluster,20,1.0
0.05,1.5,0.825,dual_cluster,20,1.0
0.05,1.5,0.85,dual_cluster,20,1.0
0.05,1.5,0.875,dual_cluster,20,1.0
0.05,1.5,0.8999999999999999,dual_cluster,20,1.0
0.05,1.5,0.9249999999999999,dual_cluster,20,1.0
0.05,1.5,0.95,dual_cluster,20,1.0
0.05,1.5,0.975,dual_cluster,20,1.0
0.05,1.5,1.0,dual_cluster,20,1.0
0.05,1.5,1.025,dual_cluster,20,1.0
0.05,1.5,1.0499999999999998,dual_cluster,20,1.0
0.05,1.5,1.075,dual_cluster,20,1.0
0.05,1.5,1.1,dual_cluster,20,1.0
0.05,1.5,1.125,dual_cluster,20,1.0
0.05,1.5,1.15,dual_cluster,20,1.0
0.05,1.5,1.1749999999999998,dual_cluster,20,1.0
0.05,1.5,1.2,dual_cluster,20,1.0
0.05,2.0,0.4,dual_cluster,20,1.0
0.05,2.0,0.42500000000000004,absorbed,1,0.05
0.05,2.0,0.42500000000000004,dual_cluster,19,0.95
0.05,2.0,0.45,absorbed,1,0.05
0.05,2.0,0.45,dual_cluster,19,0.95
0.05,2.0,0.47500000000000003,absorbed,5,0.25
0.05,2.0,0.47500000000000003,dual_cluster,15,0.75
0.05,2.0,0.5,dual_cluster,20,1.0
0.05,2.0,0.525,absorbed,3,0.15
0.05,2.0,0.525,dual_cluster,17,0.85
0.05,2.0,0.55,absorbed,1,0.05
0.05,2.0,0.55,dual_cluster,18,0.9
0.05,2.0,0.55,fragmented,1,0.05
0.05,2.0,0.575,dual_cluster,20,1.0
0.05,2.0,0.6,dual_cluster,20,1.0
0.05,2.0,0.625,dual_cluster,20,1.0
0.05,2.0,0.65,dual_cluster,20,1.0
0.05,2.0,0.675,dual_cluster,20,1.0
0.05,2.0,0.7,dual_cluster,20,1.0
0.05,2.0,0.725,dual_cluster,20,1.0
0.05,2.0,0.75,dual_cluster,20,1.0
0.05,2.0,0.7749999999999999,dual_cluster,20,1.0
0.05,2.0,0.8,dual_cluster,20,1.0
0.05,2.0,0.825,dual_cluster,20,1.0
0.05,2.0,0.85,dual_cluster,20,1.0
0.05,2.0,0.875,dual_cluster,20,1.0
0.05,2.0,0.8999999999999999,dual_cluster,20,1.0
0.05,2.0,0.9249999999999999,dual_cluster,20,1.0
0.05,2.0,0.95,dual_cluster,20,1.0
0.05,2.0,0.975,dual_cluster,20,1.0
0.05,2.0,1.0,dual_cluster,20,1.0
0.05,2.0,1.025,dual_cluster,20,1.0
0.05,2.0,1.0499999999999998,dual_cluster,20,1.0
0.05,2.0,1.075,dual_cluster,20,1.0
0.05,2.0,1.1,dual_cluster,20,1.0
0.05,2.0,1.125,dual_cluster,20,1.0
0.05,2.0,1.15,dual_cluster,20,1.0
0.05,2.0,1.1749999999999998,dual_cluster,20,1.0
0.05,2.0,1.2,dual_cluster,20,1.0
0.05,3.0,0.4,absorbed,1,0.05
0.05,3.0,0.4,dual_cluster,19,0.95
0.05,3.0,0.42500000000000004,absorbed,3,0.15
