seed,K,outsider_fraction,local_boost,R,state
0,0.4,0.05,1.0,0.8870338136287989,dual_cluster
0,0.42500000000000004,0.05,1.0,0.8941566818774628,dual_cluster
0,0.45,0.05,1.0,0.8401671307029656,dual_cluster
0,0.47500000000000003,0.05,1.0,0.9110658060803017,dual_cluster
0,0.5,0.05,1.0,0.8922809776768531,fragmented
0,0.525,0.05,1.0,0.8744612753507156,dual_cluster
0,0.55,0.05,1.0,0.9101489834730706,dual_cluster
0,0.575,0.05,1.0,0.917322022157679,dual_cluster
0,0.6,0.05,1.0,0.9001665630547605,dual_cluster
0,0.625,0.05,1.0,0.9111171748019058,dual_cluster
0,0.65,0.05,1.0,0.915848010376596,dual_cluster
0,0.675,0.05,1.0,0.9201263901182688,dual_cluster
0,0.7,0.05,1.0,0.924148714803477,dual_cluster
0,0.725,0.05,1.0,0.9279428966542262,dual_cluster
0,0.75,0.05,1.0,0.9315285368536663,dual_cluster
0,0.7749999999999999,0.05,1.0,0.9349194670703352,dual_cluster
0,0.8,0.05,1.0,0.9381258268688385,dual_cluster
0,0.825,0.05,1.0,0.9411556206903511,dual_cluster
0,0.85,0.05,1.0,0.9440158174073023,dual_cluster
0,0.875,0.05,1.0,0.9467130608524191,dual_cluster
0,0.8999999999999999,0.05,1.0,0.9492540701178787,dual_cluster
0,0.9249999999999999,0.05,1.0,0.9516458122102608,dual_cluster
0,0.95,0.05,1.0,0.9538955237012421,dual_cluster
0,0.975,0.05,1.0,0.9560106447231095,dual_cluster
0,1.0,0.05,1.0,0.957998712320874,dual_cluster
0,1.025,0.05,1.0,0.9598672444963472,dual_cluster
0,1.0499999999999998,0.05,1.0,0.9616236334094204,dual_cluster
0,1.075,0.05,1.0,0.9632750568175815,dual_cluster
0,1.1,0.05,1.0,0.964828410673705,dual_cluster
0,1.125,0.05,1.0,0.9662902621811676,dual_cluster
0,1.15,0.05,1.0,0.9676668207727223,dual_cluster
0,1.1749999999999998,0.05,1.0,0.9689639237918016,dual_cluster
0,1.2,0.05,1.0,0.9701870336321688,dual_cluster
1,0.4,0.05,1.0,0.8947594339679916,dual_cluster
1,0.42500000000000004,0.05,1.0,0.8479887279351134,dual_cluster
1,0.45,0.05,1.0,0.8922197622235613,dual_cluster
1,0.47500000000000003,0.05,1.0,0.9171415755221036,dual_cluster
1,0.5,0.05,1.0,0.870117092232418,dual_cluster
1,0.525,0.05,1.0,0.868649084886082,dual_cluster
1,0.55,0.05,1.0,0.9431976803839117,dual_cluster
1,0.575,0.05,1.0,0.8859647442768221,dual_cluster
1,0.6,0.05,1.0,0.938768120897451,dual_cluster
1,0.625,0.05,1.0,0.9144003031680507,dual_cluster
1,0.65,0.05,1.0,0.9154170283760676,dual_cluster
1,0.675,0.05,1.0,0.9196540727360165,dual_cluster
1,0.7,0.05,1.0,0.9234991537333005,dual_cluster
1,0.725,0.05,1.0,0.9271315937810375,dual_cluster
1,0.75,0.05,1.0,0.9305732284698309,dual_cluster
1,0.7749999999999999,0.05,1.0,0.9338393032159579,dual_cluster
1,0.8,0.05,1.0,0.9369405408825705,dual_cluster
1,0.825,0.05,1.0,0.9398847286612733,dual_cluster
1,0.85,0.05,1.0,0.9426779295360771,dual_cluster
1,0.875,0.05,1.0,0.9453253576858935,dual_cluster
1,0.8999999999999999,0.05,1.0,0.9478319623844658,dual_cluster
1,0.9249999999999999,0.05,1.0,0.950202773615969,dual_cluster
1,0.95,0.05,1.0,0.9524430670293659,dual_cluster
1,0.975,0.05,1.0,0.9545584035733387,dual_cluster
1,1.0,0.05,1.0,0.9565545913696142,dual_cluster
1,1.025,0.05,1.0,0.9584376067689,dual_cluster
1,1.0499999999999998,0.05,1.0,0.9602135006443373,dual_cluster
1,1.075,0.05,1.0,0.961888306495193,dual_cluster
1,1.1,0.05,1.0,0.9634679595946374,dual_cluster
1,1.125,0.05,1.0,0.9649582312652517,dual_cluster
1,1.15,0.05,1.0,0.9663646790763127,dual_cluster
1,1.1749999999999998,0.05,1.0,0.9676926118728404,dual_cluster
1,1.2,0.05,1.0,0.9689470676311043,dual_cluster
2,0.4,0.05,1.0,0.7962669972131202,dual_cluster
2,0.42500000000000004,0.05,1.0,0.8839114804543752,dual_cluster
2,0.45,0.05,1.0,0.8208284795168458,dual_cluster
2,0.47500000000000003,0.05,1.0,0.9131747748944825,dual_cluster
2,0.5,0.05,1.0,0.8531202642077125,dual_cluster
2,0.525,0.05,1.0,0.9412301769577576,dual_cluster
2,0.55,0.05,1.0,0.8738149738915273,dual_cluster
2,0.575,0.05,1.0,0.9097482055932155,dual_cluster
2,0.6,0.05,1.0,0.9078910139173629,dual_cluster
2,0.625,0.05,1.0,0.9067157053800904,dual_cluster
2,0.65,0.05,1.0,0.911995124772769,dual_cluster
2,0.675,0.05,1.0,0.916922127673324,dual_cluster
2,0.7,0.05,1.0,0.9215307787768746,dual_cluster
2,0.725,0.05,1.0,0.9258530950323651,dual_cluster
2,0.75,0.05,1.0,0.9299107949165919,dual_cluster
2,0.7749999999999999,0.05,1.0,0.9337193229052537,dual_cluster
2,0.8,0.05,1.0,0.937290784360395,dual_cluster
2,0.825,0.05,1.0,0.9406359079281343,dual_cluster
2,0.85,0.05,1.0,0.9437651926022531,dual_cluster
2,0.875,0.05,1.0,0.9466894403085728,dual_cluster
2,0.8999999999999999,0.05,1.0,0.9494198809647666,dual_cluster
2,0.9249999999999999,0.05,1.0,0.9519680673469442,dual_cluster
2,0.95,0.05,1.0,0.9543456697522453,dual_cluster
2,0.975,0.05,1.0,0.9565642527852563,dual_cluster
2,1.0,0.05,1.0,0.9586350784410566,dual_cluster
2,1.025,0.05,1.0,0.960568953637732,dual_cluster
2,1.0499999999999998,0.05,1.0,0.962376124931293,dual_cluster
2,1.075,0.05,1.0,0.9640662153601921,dual_cluster
2,1.1,0.05,1.0,0.9656481953738492,dual_cluster
2,1.125,0.05,1.0,0.9671303794616041,dual_cluster
2,1.15,0.05,1.0,0.9685204410212215,dual_cluster
2,1.1749999999999998,0.05,1.0,0.9698254393764967,dual_cluster
2,1.2,0.05,1.0,0.9710518542476912,dual_cluster
3,0.4,0.05,1.0,0.8095272141089817,dual_cluster
