K,R_before_mean,R_before_std,R_after_final_mean,R_after_final_std,R_min_after_perturb_mean,R_min_after_perturb_std,recovery_time_mean,recovery_time_std,cluster_final_mean,cluster_final_std,d_recovery_dK,abs_d_recovery_dK
0.4,0.10913510608128096,0.04635866406088459,0.08859645043025872,0.04664582339686747,0.01500571695252855,0.014420809190978125,4.617,9.14858004512751,1.0,0.0,-19.479999999999993,19.479999999999993
0.425,0.12173966337946315,0.054634947591418265,0.10344004596007739,0.04963118371068236,0.015946156992723115,0.014008327851311597,4.130000000000001,11.149703795924003,1.0,0.0,-27.099999999999994,27.099999999999994
0.45,0.13510205882779097,0.08279351776865745,0.13348616651125028,0.06339470630214354,0.02058427336771655,0.021648149999686166,3.2620000000000005,8.873145529007589,1.0,0.0,35.80000000000017,35.80000000000017
0.475,0.17762286892070728,0.0616557763503319,0.14355594591125992,0.04965380636076526,0.03862373587033295,0.04464916847538184,5.92,18.59767274631284,1.0,0.0,37.74000000000012,37.74000000000012
0.5,0.20256805586506546,0.07892055245072559,0.19052150853082475,0.06909191010500618,0.06667686050885616,0.06988338747830453,5.148999999999999,14.141631670913704,1.0,0.0,-36.25999999999996,36.25999999999996
0.525,0.24667695670507545,0.09729541961043953,0.23593484429938721,0.10541091787713765,0.10425801747344383,0.07803167570760994,4.107,7.668245596374428,1.2,0.5231483637805969,9.14,9.14
0.55,0.33261761395222966,0.08250200950000605,0.31150111638479194,0.10376274615115857,0.14146816034965162,0.08152327277219765,5.606,18.01629683311605,1.2,0.4103913408340616,78.52000000000015,78.52000000000015
0.575,0.36113702878538445,0.10278380204683972,0.33270556993280004,0.1013027975790222,0.1911728644935972,0.08021200797405709,8.033,19.299646328911127,1.9,1.2937094768634554,44.78000000000034,44.78000000000034
0.6,0.41939437560390525,0.11030888821801677,0.39365412250694337,0.10196529622897099,0.24553316752472037,0.07404133695876199,7.845000000000001,18.32321377809839,1.65,0.7451598203705946,-121.53999999999988,121.53999999999988
0.625,0.48060487099042365,0.08762079087185713,0.4696215701280638,0.08869981004182019,0.3318850654177693,0.11101589489801847,1.9560000000000002,2.2210912443637865,1.55,0.6048053188292994,-130.31999999999988,130.31999999999988
0.65,0.5345118183097908,0.09914097377823872,0.5503721383015896,0.07475548054789838,0.45778081693110834,0.1181257350481401,1.3290000000000002,1.2008150740664707,1.15,0.36634754853252327,-9.499999999999993,9.499999999999993
0.675,0.6484605608295643,0.055035249460553166,0.6497168560751775,0.0538037822853855,0.581910535240928,0.0602373145309865,1.481,0.9412080702899585,1.05,0.22360679774997894,-3.7800000000000544,3.7800000000000544
0.7,0.713659569507133,0.03299930781113496,0.7133240910316537,0.03358412363539088,0.6447113064488235,0.034688611659184625,1.1400000000000001,0.8459189957486599,1.0,0.0,-9.42000000000003,9.42000000000003
0.725,0.7543782105072547,0.02534089957936067,0.7545523478418005,0.025278946452423016,0.6819988442126543,0.024206198268623073,1.01,0.5995963554539705,1.0,0.0,-5.799999999999997,5.799999999999997
0.75,0.7844416480420537,0.020305431000918917,0.784172751198387,0.020661827707579218,0.7102869805140266,0.02788322474241545,0.85,0.4186947135537954,1.0,0.0,-1.4399999999999977,1.4399999999999977
0.775,0.8074010611714391,0.01732746841716707,0.807483365352663,0.017234373691651046,0.728462448666524,0.01890101401958267,0.9380000000000001,0.3705983781598846,1.0,0.0,-2.26,2.26
0.8,0.8262921445259664,0.0148448590207243,0.8262605809155016,0.014885175037637054,0.7495132780028001,0.017013179227718594,0.737,0.2454019259564967,1.0,0.0,-7.680000000000012,7.680000000000012
0.825,0.8419218364229737,0.013041928192444213,0.8419195440581921,0.013045065376883552,0.7654067861416032,0.018517086639847986,0.554,0.2763750312433033,1.0,0.0,-5.240000000000014,5.240000000000014
0.85,0.8551637442722834,0.011614396574672656,0.8551635944666692,0.011614596191439149,0.7798874828094365,0.01556130982770809,0.475,0.2297710530987427,1.0,0.0,-0.6999999999999993,0.6999999999999993
0.875,0.866551640911218,0.010450717685627626,0.86655163247858,0.010450729055704678,0.7895686486824599,0.016901681135402243,0.519,0.2085009150554198,1.0,0.0,0.2599999999999998,0.2599999999999998
0.9,0.876460373370253,0.009483667446881588,0.8764603736171533,0.0094836671085882,0.7991363194170835,0.01797896765830214,0.488,0.20676964044686616,1.0,0.0,-3.3599999999999985,3.3599999999999985
0.925,0.8851661114282454,0.008666463645661144,0.8851661114251881,0.008666463649996625,0.8121904677372903,0.015846392277585213,0.351,0.1703834684345564,1.0,0.0,-2.5199999999999907,2.5199999999999907
0.95,0.8928773932329916,0.007966377729590508,0.8928773932329438,0.007966377729651461,0.8172712347722937,0.012574661320032961,0.362,0.11218405928604448,1.0,0.0,-0.01999999999999691,0.01999999999999691
0.975,0.8997554404416684,0.007359768788650244,0.8997554404416865,0.007359768788624505,0.8235487388857521,0.013972384578177344,0.35,0.13114877048604,1.0,0.0,-1.0999999999999988,1.0999999999999988
1.0,0.9059273580297658,0.006829078323543839,0.9059273580297648,0.006829078323545295,0.8324478242209998,0.010475335187285877,0.307,0.12022347612062426,1.0,0.0,-1.6800000000000024,1.6800000000000024
1.025,0.9114950128611637,0.006360956972287849,0.9114950128611635,0.006360956972287983,0.8383889726596727,0.013287202389234108,0.266,0.13331403369093356,1.0,0.0,0.4599999999999804,0.4599999999999804
1.05,0.9165411932704262,0.005945053961008566,0.9165411932704262,0.00594505396100847,0.8388230478062436,0.010732756612426852,0.33,0.11706948004452201,1.0,0.0,-0.2800000000000251,0.2800000000000251
1.075,0.9211339977548132,0.0055732075261158,0.921133997754813,0.005573207526115843,0.8497993034204706,0.014318448622842577,0.252,0.10885045269833092,1.0,0.0,-1.8400000000000096,1.8400000000000096
1.1,0.9253300336169948,0.005238887641132857,0.9253300336169946,0.005238887641132805,0.85166333216925,0.013214923759895122,0.238,0.10050399311260695,1.0,0.0,0.6200000000000099,0.6200000000000099
1.125,0.9291767942879894,0.004936802809802642,0.9291767942879894,0.004936802809802635,0.8496591455484699,0.009148056402839428,0.28300000000000003,0.06936554582332946,1.0,0.0,-0.3200000000000003,0.3200000000000003
1.15,0.9327144565965317,0.0046626166071127,0.9327144565965317,0.004662616607112762,0.8583195877805497,0.01250094443680836,0.22200000000000003,0.08433017815330655,1.0,0.0,-1.0800000000000107,1.0800000000000107
1.175,0.9359772600463199,0.00441273946071281,0.9359772600463199,0.00441273946071278,0.860777175013945,0.009736602859377783,0.229,0.05637281913158243,1.0,0.0,0.40000000000000036,0.40000000000000036
1.2,0.9389945794906247,0.004184173140846967,0.9389945794906247,0.004184173140846933,0.8600948533245966,0.008453883934867198,0.242,0.04537562526754924,1.0,0.0,0.5200000000000012,0.5200000000000012
